"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","6건","-","-","832,667","-","-","-"
"1","냉동꽁치","대만","2014-09-23","94,962","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-09-23","91,442","불검출","불검출","적합"
"3","냉동명태","러시아","2014-09-23","508,733","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-09-23","119,100","불검출","불검출","적합"
"5","냉동가자미(까지가자미)","러시아","2014-09-23","430","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2014-09-23","18,000","불검출","불검출","적합"
