"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동명태(F)","러시아","2017-08-02","47,913","불검출","불검출","적합"
"2","냉동가자미(각시가자미)","러시아","2017-08-02","22,050","불검출","불검출","적합"
"3","냉동다랑어(남방참다랑어,목살)","호주","2017-08-02","500","불검출","불검출","적합"
"4","냉동상어(청상아리)","남아프리카공화국","2017-08-02","24,968","불검출","불검출","적합"
"5","냉동명태","러시아","2017-08-02","280,704","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2017-08-02","23,956","불검출","불검출","적합"
"7","냉동가자미","러시아","2017-08-02","16,061","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-08-02","44,860","불검출","불검출","적합"
"9","냉동다랑어(참다랑어,F,횟감)","리비아","2017-08-02","545","불검출","불검출","적합"
"10","냉동명태","러시아","2017-08-02","821,881","불검출","불검출","적합"
"11","냉동대구","러시아","2017-08-02","152,977","불검출","불검출","적합"
"12","냉동명태","러시아","2017-08-02","408,070","불검출","불검출","적합"
"13","냉동가자미","러시아","2017-08-02","4,967","불검출","불검출","적합"
"14","냉동가자미(각시가자미)","러시아","2017-08-02","22,500","불검출","불검출","적합"
"15","냉동가자미(각시가자미)","러시아","2017-08-02","22,500","불검출","불검출","적합"
"16","마른명태","러시아","2017-08-02","14,000","불검출","불검출","적합"
"합계","","-","-","1,908,452","-","-","-"
