"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건11","-","-","1,127,216","-","-","-"
"1","마른해삼 자숙(
)","온두라스","2016-01-14","60","불검출","불검출","적합"
"2","냉동가자미
(
까지가자미
)","러시아","2016-01-14","9,202","불검출","불검출","적합"
"3","냉동명태","러시아","2016-01-14","925,403","불검출","불검출","적합"
"4","냉동다랑어
(
눈다랑어 목살
,
)","대만","2016-01-14","1,315","불검출","불검출","적합"
"5","냉동남방참다랑어
(
볼살 횟감
,
)","호주","2016-01-14","425","불검출","불검출","적합"
"6","냉동꽁치","대만","2016-01-14","140,555","불검출","불검출","적합"
"7","마른명태","러시아","2016-01-14","4,250","불검출","불검출","적합"
"8","냉동상어
(
흑기흉상어
)","대만","2016-01-14","1,517","불검출","불검출","적합"
"9","냉동대구(F)","러시아","2016-01-14","2,400","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2016-01-14","19,589","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2016-01-14","22,500","불검출","불검출","적합"
