"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건10","-","-","770,398","-","-","-"
"1","냉동명태","러시아","2016-01-15","512,560","불검출","불검출","적합"
"2","냉동다랑어
(
눈다랑어
)","중국","2016-01-15","48,887","불검출","불검출","적합"
"3","냉동대구","러시아","2016-01-15","11,653","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2016-01-15","19,100","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2016-01-15","23,250","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2016-01-15","14,400","불검출","불검출","적합"
"7","냉동가자미
(
각시가자미
)","러시아","2016-01-15","22,000","불검출","불검출","적합"
"8","냉동고둥살
(
논고둥 자숙
,
)","라오스","2016-01-15","14,868","불검출","불검출","적합"
"9","냉동꽁치","대만","2016-01-15","86,859","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-01-15","16,821","불검출","불검출","적합"
