"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","108건","","369,688","","",""
"1","청주","아키타현","2014-10-23","54","불검출","불검출","적합"
"2","청주","아키타현","2014-10-23","233.28","불검출","불검출","적합"
"3","청주","아키타현","2014-10-23","157.68","불검출","불검출","적합"
"4","청주","아키타현","2014-10-23","51.84","불검출","불검출","적합"
"5","빵류(파이)","오사카부","2014-10-22","135.52","불검출","불검출","적합"
"6","빵류(그외 빵류)","효고현","2014-10-20","39.6","불검출","불검출","적합"
"7","소스류","이바라키현","2014-08-27","45","불검출","불검출","적합"
"8","드레싱","도쿄도","2014-09-25","180","불검출","불검출","적합"
"9","드레싱","도쿄도","2014-10-09","90","불검출","불검출","적합"
"10","황산칼슘","오카야마현","2014-10-22","5,000","불검출","불검출","적합"
"11","소스류","도쿄도","2014-10-01","90","불검출","불검출","적합"
"12","기타장류","효고현","2014-09-04","972","불검출","불검출","적합"
"13","건어포류","가고시마현","2014-10-14","1,182","불검출","불검출","적합"
"14","소주","아이치현","2014-05-21","540","불검출","불검출","적합"
"15","소스류","니가타현","2014-10-17","806.82","불검출","불검출","적합"
"16","소스류","니가타현","2014-10-24","2,476.8","불검출","불검출","적합"
"17","청주","훗카이도","2014-09-19","43.2","불검출","불검출","적합"
