"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","121,861","-","-","-"
"1","활돔(참돔)","미에현","2016-06-14","11,690","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-06-14","7,587","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-06-14","9,267","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-06-14","5,303","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-06-14","16,874","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-06-14","7,000","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-06-14","1,521","불검출","불검출","적합"
"8","냉장민어(수조기)","야마구치현","2016-06-14","75","불검출","불검출","적합"
"9","냉장가오리","야마구치현","2016-06-14","50","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-06-14","2,274","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2016-06-14","832","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2016-06-14","1,909","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2016-06-14","944","불검출","불검출","적합"
"14","냉장갈치","히로시마현","2016-06-14","1,055","불검출","불검출","적합"
