"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","89,701","-","-","-"
"1","활돔(참돔)","미에현","2016-06-16","6,604","불검출","불검출","적합"
"2","활돔(돌돔)","미에현","2016-06-16","1,635","불검출","불검출","적합"
"3","활돔(참돔)","구마모토현","2016-06-16","10,593","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-06-16","6,988","불검출","불검출","적합"
"5","활돔(돌돔)","나가사키현","2016-06-16","352","불검출","불검출","적합"
"6","냉장준치","구마모토현","2016-06-16","56","불검출","불검출","적합"
"7","냉장갈치","에히메현","2016-06-16","350","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-06-16","2,591","불검출","불검출","적합"
"9","냉장갈치","에히메현","2016-06-16","280","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-06-16","3,561","불검출","불검출","적합"
"11","냉장갈치","오이타현","2016-06-16","325","불검출","불검출","적합"
"12","냉장돔(황돔)","후쿠오카현","2016-06-16","75","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2016-06-16","1,234","불검출","불검출","적합"
"14","냉장갈치","오이타현","2016-06-16","500","불검출","불검출","적합"
