"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","144,489","-","-","-"
"1","냉동명태(F)","러시아","2016-06-13","14,400","불검출","불검출","적합"
"2","냉동오징어
(지느러미)","페루","2016-06-13","22,000","불검출","불검출","적합"
"3","냉동곤이(대구)","러시아","2016-06-13","300","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2016-06-13","14,400","불검출","불검출","적합"
"5","냉동곤이(명태)","미국","2016-06-13","14,114","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2016-06-13","23,625","불검출","불검출","적합"
"7","냉동상어
(청상아리)","대만","2016-06-13","1,715","불검출","불검출","적합"
"8","냉동가자미
(까지가자미)","러시아","2016-06-13","22,000","불검출","불검출","적합"
"9","냉동대구(F)","러시아","2016-06-13","5,000","불검출","불검출","적합"
"10","냉동다랑어
(눈다랑어,목살)","대만","2016-06-13","1,964","불검출","불검출","적합"
"11","냉동가자미
(각시가자미)","러시아","2016-06-13","23,000","불검출","불검출","적합"
"12","냉동대구(F)","러시아","2016-06-13","1,000","불검출","불검출","적합"
"13","냉동상어
(청상아리,F)","대만","2016-06-13","971","2.0","불검출","적합"
