"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"21","활돔(참돔)","에히메현","2019-04-16","3,813","불검출","불검출","적합"
"22","냉장돔(황돔)","야마구치현","2019-04-16","100","불검출","불검출","적합"
"23","냉장갈치","야마구치현","2019-04-16","260","불검출","불검출","적합"
"24","냉장가오리","후쿠오카현","2019-04-16","810","불검출","불검출","적합"
"25","냉장명태","홋카이도","2019-04-16","3,250","불검출","불검출","적합"
"26","활돔(돌돔)","미야자키현","2019-04-16","1,298","불검출","불검출","적합"
"27","활돔(벤자리)","에히메현","2019-04-16","1,466","불검출","불검출","적합"
"28","활돔(참돔)","고치현","2019-04-16","14,063","불검출","불검출","적합"
"29","냉장명태","홋카이도","2019-04-16","1,300","불검출","불검출","적합"
"30","활가리비","홋카이도","2019-04-16","8,149","불검출","불검출","적합"
"31","냉장갈치","후쿠오카현","2019-04-16","365","불검출","불검출","적합"
"32","냉장쥐치","후쿠오카현","2019-04-16","3,393","불검출","불검출","적합"
"33","냉장준치","후쿠오카현","2019-04-16","264","불검출","불검출","적합"
"34","활장어(먹장어)","나가사키현","2019-04-16","685","불검출","불검출","적합"
"35","냉장홍어","홋카이도","2019-04-16","1,528","불검출","불검출","적합"
"36","활대합(북방대합)","홋카이도","2019-04-16","6,000","불검출","불검출","적합"
"합계","","-","-","96,850","-","-","-"
