"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"50","혼합제제","이바라키현","2019-02-07","20","불검출","불검출","적합"
"51","전분가공품","효고현","2019-03-25","11","불검출","불검출","적합"
"52","전분가공품","효고현","2019-03-25","11","불검출","불검출","적합"
"53","캔디류","나가사키현","2019-02-28","3,276","불검출","불검출","적합"
"54","전분","가고시마현","2018-11-07","111,000","불검출","불검출","적합"
"55","당류가공품","오카야마현","2019-02-03","16,000","불검출","불검출","적합"
"56","전분","가고시마현","2018-11-27","37,000","불검출","불검출","적합"
"57","캔디류","아이치현","2019-03-25","806","불검출","불검출","적합"
"58","혼합제제","효고현","2019-03-26","340","불검출","불검출","적합"
"59","빵류","기후현","2019-03-20","10,500","불검출","불검출","적합"
"60","탄산음료","아이치현","2019-01-09","7,338","불검출","불검출","적합"
"61","청주","니가타현","2019-03-01","25,920","불검출","불검출","적합"
"62","과·채음료","야마구치현","","590","불검출","불검출","적합"
"63","과·채음료","야마구치현","","590","불검출","불검출","적합"
"64","혼합음료","미야자키현","","639","불검출","불검출","적합"
"65","혼합음료","돗토리현","","522","불검출","불검출","적합"
"66","혼합음료","미야자키현","","541","불검출","불검출","적합"
"67","혼합제제","와카야마현","2019-03-14","150","불검출","불검출","적합"
"68","혼합제제","히로시마현","2019-03-15","840","불검출","불검출","적합"
"69","혼합제제","오카야마현","2019-03-12","90","불검출","불검출","적합"
"70","혼합제제","오카야마현","2019-03-27","15","불검출","불검출","적합"
"71","합성향료","오카야마현","2019-03-27","30","불검출","불검출","적합"
"72","혼합제제","시즈오카현","2019-03-20","25","불검출","불검출","적합"
"73","혼합제제","효고현","2019-03-11","17","불검출","불검출","적합"
"74","혼합제제","오카야마현","2019-03-26","180","불검출","불검출","적합"
"75","탄산음료","사가현","","576","불검출","불검출","적합"
"76","혼합제제","효고현","2019-03-07","17","불검출","불검출","적합"
"77","초콜릿가공품","이바라키현","2019-03-12","9,200","불검출","불검출","적합"
"78","초콜릿가공품","이바라키현","2019-03-18","14,832","불검출","불검출","적합"
"79","소스","후쿠오카현","2019-02-07","160","불검출","불검출","적합"
"80","청주","효고현","2019-01-10","8,400","불검출","불검출","적합"
"81","청주","효고현","2019-04-01","10,692","불검출","불검출","적합"
"82","합성향료","효고현","2019-03-06","17","불검출","불검출","적합"
"83","합성향료","효고현","2019-03-15","17","불검출","불검출","적합"
"84","기타가공품","와카야마현","2019-03-23","1,000","불검출","불검출","적합"
