"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 119건","","","","681,478","","",""
"1","청주","니가타현","2018-03-09","19,278","불검출","불검출","적합"
"2","청주","니가타현","2018-03-13","1,512","불검출","불검출","적합"
"3","리큐르","시즈오카현","2018-01-15","168","불검출","불검출","적합"
"4","청주","효고현","2017-12-01","115","불검출","불검출","적합"
"5","청주","교토부","2018-02-05","72","불검출","불검출","적합"
"6","청주","교토부","2018-01-11","180","불검출","불검출","적합"
"7","청주","교토부","2017-12-01","360","불검출","불검출","적합"
"8","리큐르","미에현","2018-01-31","252","불검출","불검출","적합"
"9","소주","미야자키현","2018-02-15","108","불검출","불검출","적합"
"10","소주","교토부","2018-01-16","126","불검출","불검출","적합"
"11","청주","교토부","2018-01-24","12,000","불검출","불검출","적합"
"12","혼합제제","효고현","2018-03-16","17","불검출","불검출","적합"
"13","혼합제제","효고현","2018-03-19","51","불검출","불검출","적합"
