"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏) 건수","","중량(㎏)",""
"합계","457","1,564,332","2","6,090","363","1,449,883","4","6,018","88","102,341"
"4.9","99","462,667","0","0","76","441,911","0","0","23","20,756"
"4.10","143","273,512","0","0","124","250,293","0","0","19","23,219"
"4.11","119","681,478","1","4,020","99","665,953","2","3,779","17","7,726"
"4.12","96","146,675","1","2,070","64","91,726","2","2,239","29","50,640"
"","","","","","","","","","",""
