품목명	제조·생산지	제조일자(유통기한)	수입중량(kg)	세슘	요오드	판정	파일
능이/건조	키르기스스탄	2020.9.6.	100.0	7	불검출	적합	./tables/071/20181008_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	키르기스스탄	2021.3.22.	110.0	9	불검출	적합	./tables/071/20181008_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	미국	2020.4.12.	44.0	2	불검출	적합	./tables/072/20181002_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2019.7.17.	60.0	1	불검출	적합	./tables/073/20180927_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.6.1.	625.0	50	불검출	적합	./tables/073/20180928_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	중국	2019.12.6.	210.0	2	불검출	적합	./tables/073/20181001_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2019.11.29.	2,570	1	불검출	적합	./tables/074/20180919_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	오스트리아	2020.2.21.	164.64	28	불검출	적합	./tables/074/20180921_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.6.1.	625	47	불검출	적합	./tables/075/20180917_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아	2021.8.6.	1,002	14	불검출	적합	./tables/075/20180917_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아	2020.8.28.	198.0	1	불검출	적합	./tables/075/20180914_기타국가_방사능_검출_현황-page-1-table-1.csv
곰보버섯	터키	2020.8.1.	100.0	3	불검출	적합	./tables/075/20180914_기타국가_방사능_검출_현황-page-1-table-1.csv
그물버섯	루마니아	2020.8.1.	200.0	7	불검출	적합	./tables/075/20180914_기타국가_방사능_검출_현황-page-1-table-1.csv
꾀꼬리버섯	폴란드	2020.8.1.	100.0	20	불검출	적합	./tables/075/20180914_기타국가_방사능_검출_현황-page-1-table-1.csv
꾀꼬리버섯	프랑스	2020.8.1.	100.0	13	불검출	적합	./tables/075/20180914_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2020.5.14.	1,515	34	불검출	적합	./tables/076/20180911_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	벨기에	2020.5.31.	25.8	58	불검출	적합	./tables/076/20180911_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	(2018.8.15.)	9,710	2	불검출	적합	./tables/076/20180911_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2020.6.7.	121.8	15	불검출	적합	./tables/076/20180911_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	키르기스스탄	(2018.1.1.)	390.0	8	불검출	적합	./tables/076/20180912_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.8.12.	400.0	17	불검출	적합	./tables/076/20180912_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	슬로바키아	2019.7.3.	7.5	3	불검출	적합	./tables/076/20180912_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	슬로바키아	2019.7.3.	7.5	4	불검출	적합	./tables/076/20180912_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.6.1.	625.0	44	불검출	적합	./tables/076/20180910_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.6.1.	625.0	58	불검출	적합	./tables/077/20180907_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	핀란드	2020.3.1.	100.0	48	불검출	적합	./tables/078/20180904_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채음료	이탈리아	2020.4.1.	1,526.4	3	불검출	적합	./tables/078/20180903_기타국가_방사능_검출_현황-page-1-table-1.csv
"빌베리추출물
(원료성)"	스위스	2021.7.1.	20	3	불검출	적합	./tables/078/20180903_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2019.11.28.	900.0	33	불검출	적합	./tables/080/20180827_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.3.23.	500.0	43	불검출	적합	./tables/081/20180822_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아	(2018.6.28.)	5,000	17	불검출	적합	./tables/081/20180821_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	핀란드	2019.10.22.	605.88	114	불검출	부적합	./tables/081/20180821_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.7.8.	300.0	71	불검출	적합	./tables/081/20180823_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.7.22.	200.0	59	불검출	적합	./tables/084/20180809_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.7.23.	200.0	54	불검출	적합	./tables/084/20180809_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2020.10.1.	240.0	17	불검출	적합	./tables/085/20180803_기타국가_방사능_검출_현황-page-1-table-1.csv
그물버섯	리투아니아	(2018.5.4.)	240.0	3	불검출	적합	./tables/086/20180801_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	폴란드	2020.7.14.	450.0	1	불검출	적합	./tables/086/20180801_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	독일	2019.8.7.	3,001.6	2	불검출	적합	./tables/086/20180730_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.3.11.	625	53	불검출	적합	./tables/087/20180727_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.6.15.	2,010	70	불검출	적합	./tables/087/20180727_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2020.10.1.	240.0	1	불검출	적합	./tables/087/20180725_기타국가_방사능_검출_현황-page-1-table-1.csv
빌베리추출물	독일	2019.10.1.	50.0	1	불검출	적합	./tables/087/20180726_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아	(2018.4.20.)	6,462	11	불검출	적합	./tables/088/20180723_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	미국	2020.5.21.	20,118	1	불검출	적합	./tables/088/20180723_기타국가_방사능_검출_현황-page-1-table-1.csv
기타가공품	중국	2020.5.10.	25.0	4	불검출	적합	./tables/088/20180720_기타국가_방사능_검출_현황-page-1-table-1.csv
기타잼	이탈리아	2020.2.1.	48.0	30	불검출	적합	./tables/088/20180720_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2020.7.31.	240.0	2	불검출	적합	./tables/088/20180720_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2020.10.1.	240.0	2	불검출	적합	./tables/088/20180724_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아	(2018.5.20.)	15,847	25	불검출	적합	./tables/089/20180716_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리	미국	2019.11.22.	17,952	3	불검출	적합	./tables/089/20180716_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2020.7.31.	240.0	40	불검출	적합	./tables/089/20180717_기타국가_방사능_검출_현황-page-1-table-1.csv
"빌베리추출물
(원료성)"	스위스	2021.7.1.	21.0	3	불검출	적합	./tables/089/20180718_기타국가_방사능_검출_현황-page-1-table-1.csv
"빌베리추출물
(원료성)"	이탈리아	2022.4.30.	245.0	17	불검출	적합	./tables/089/20180718_기타국가_방사능_검출_현황-page-1-table-1.csv
곰보버섯	프랑스	(2018.6.14.)	39.0	1	불검출	적합	./tables/090/20180713_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	핀란드	2020.6.13.	104.0	16	불검출	적합	./tables/091/20180711_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	핀란드	2019.11.29.	532.44	5	불검출	적합	./tables/092/20180705_기타국가_방사능_검출_현황-page-1-table-1.csv
천연향신료	이탈리아	2021.3.19.	30.0	1	불검출	적합	./tables/092/20180709_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2020.5.16.	3	19	불검출	적합	./tables/093/20180703_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	중국	2020.6.9.	1,000	4	불검출	적합	./tables/093/20180703_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	이탈리아	2020.4.3.	10	2	불검출	적합	./tables/093/20180703_기타국가_방사능_검출_현황-page-1-table-1.csv
천연향신료	이탈리아	2021.2.19.	13	5	불검출	적합	./tables/093/20180629_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	덴마크	2020.4.18.	13,824	4	불검출	적합	./tables/093/20180629_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아연방	2021.5.22.	1,001	11	불검출	적합	./tables/094/20180626_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2020.7.21.	6	17	불검출	적합	./tables/094/20180626_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2020.12.18.	54.75	1	불검출	적합	./tables/094/20180627_기타국가_방사능_검출_현황-page-1-table-1.csv
"빌베리추출물
(원료성)"	이탈리아	2022.4.30.	100.0	30	불검출	적합	./tables/095/20180622_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.5.29.	2,000	3	불검출	적합	./tables/096/20180621_기타국가_방사능_검출_현황-page-1-table-1.csv
과 채가공품	독일	2020.5.12.	25	798	불검출	부적합	./tables/096/20180621_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.12.15.	500.0	44	불검출	적합	./tables/096/20180619_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2020.12.31.	6.0	120	불검출	부적합	./tables/096/20180619_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2019.9.20.	518.4	33	불검출	적합	./tables/097/20180615_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2021.12.31.	756.0	83	불검출	적합	./tables/097/20180618_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.5.24.	31.92	41	불검출	적합	./tables/098/20180614_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.4.20.	100.0	20	불검출	적합	./tables/098/20180614_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	영국	2019.6.1.	2.4	1	불검출	적합	./tables/098/20180611_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아연방	(2018.3.20.)	13,308	17	불검출	적합	./tables/098/20180612_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2019.11.28.	400	36	불검출	적합	./tables/098/20180612_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2019.7.11.	192.0	4	불검출	적합	./tables/099/20180605_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.3.11.	625	61	불검출	적합	./tables/100/20180604_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.3.11.	625	53	불검출	적합	./tables/100/20180604_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	(2018.4.10.)	969.0	3	불검출	적합	./tables/104/20180515_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2020.12.1.	964	2	불검출	적합	./tables/104/20180514_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.4.19.	200	62	불검출	적합	./tables/104/20180514_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.3.28.	27.2	53	불검출	적합	./tables/105/20180509_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2019.11.1.	3,039	3	불검출	적합	./tables/105/20180511_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.2.15.	625.0	41	불검출	적합	./tables/106/20180503_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	프랑스	2019.11.28.	200.0	33	불검출	적합	./tables/107/20180430_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	미국	2019.12.31.	25.0	2	불검출	적합	./tables/107/20180501_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.3.14.	322.0	55	불검출	적합	./tables/108/20180427_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아연방	2021.4.1.	150.0	24	불검출	적합	./tables/108/20180427_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.3.15.	100.0	47	불검출	적합	./tables/108/20180426_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2019.2.15.	78.0	12	불검출	적합	./tables/108/20180425_기타국가_방사능_검출_현황-page-1-table-1.csv
그물버섯	이탈리아	(2017.7.24.)	378.0	35	불검출	적합	./tables/110/20180417_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.3.21.	50.0	70	불검출	적합	./tables/110/20180419_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	중국	2019.9.18.	97.5	2	불검출	적합	./tables/110/20180419_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.2.15.	625.0	49	불검출	적합	./tables/111/20180416_기타국가_방사능_검출_현황-page-1-table-1.csv
그물버섯	리투아니아	(2018.1.22.)	480	4	불검출	적합	./tables/111/20180413_기타국가_방사능_검출_현황-page-1-table-1.csv
기타잼	프랑스	2021.1.10.	409.8	8	불검출	적합	./tables/111/20180413_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2018.3.20.)	300	2	불검출	적합	./tables/111/20180413_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리	폴란드	(2018.1.25.)	900	1	불검출	적합	./tables/112/20180410_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.1.18.	100	49	불검출	적합	./tables/112/20180410_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.12.26.	200	47	불검출	적합	./tables/112/20180410_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2021.2.28.	300.0	37	불검출	적합	./tables/112/20180412_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	핀란드	2019.10.23.	103.5	42	불검출	적합	./tables/112/20180411_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.2.15.	625.0	49	불검출	적합	./tables/113/20180406_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.2.4.	300	30	불검출	적합	./tables/114/20180405_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.3.21.	30	63	불검출	적합	./tables/114/20180405_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리	미국	(2018.1.18.)	23,120	2	불검출	적합	./tables/114/20180405_기타국가_방사능_검출_현황-page-1-table-1.csv
"빌베리추출물
(원료성)"	이탈리아	2022.4.30.	50	19	불검출	적합	./tables/114/20180405_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.2.15.	625.0	49	불검출	적합	./tables/115/20180402_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2020.4.24.	1,088	33	불검출	적합	./tables/115/20180328_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2019.5.16.	806	1	불검출	적합	./tables/115/20180328_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625.0	53	불검출	적합	./tables/119/20180309_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625.0	45	불검출	적합	./tables/120/20180308_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	(2017년산)	6,330	2	불검출	적합	./tables/121/20180226_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625	45	불검출	적합	./tables/121/20180226_기타국가_방사능_검출_현황-page-1-table-1.csv
과 채가공품	핀란드	2019.10.23.	152.0	78	불검출	적합	./tables/122/20180222_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625.0	42	불검출	적합	./tables/122/20180223_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	(2018.1.19.)	120.0	1	불검출	적합	./tables/123/20180220_기타국가_방사능_검출_현황-page-1-table-1.csv
냉동 뿔나팔버섯	스페인	(2018.1.10.)	105.0	2	불검출	적합	./tables/123/20180221_기타국가_방사능_검출_현황-page-1-table-1.csv
냉동 꾀꼬리버섯	스페인	(2018.1.10.)	105.0	39	불검출	적합	./tables/123/20180221_기타국가_방사능_검출_현황-page-1-table-1.csv
