"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 122건","","","","169,527","","",""
"1","청주","니가타현","2017-06-01","167","불검출","불검출","적합"
"2","청주","니가타현","2017-03-15","1,901","불검출","불검출","적합"
"3","청주","니가타현","2017-06-02","3,911","불검출","불검출","적합"
"4","어묵","시마네현","2017-05-14","582","불검출","불검출","적합"
"5","소스류","히로시마현","2017-05-31","2,520","불검출","불검출","적합"
"6","소스류","히로시마현","2017-06-08","1,320","불검출","불검출","적합"
"7","소스류","히로시마현","2017-05-16","2,848","불검출","불검출","적합"
"8","소스류","히로시마현","2017-06-28","2,066","불검출","불검출","적합"
"9","소스류","히로시마현","2017-06-14","330","불검출","불검출","적합"
"10","발효식초","히로시마현","2017-06-27","551","불검출","불검출","적합"
"11","소스류","히로시마현","2017-06-15","1,320","불검출","불검출","적합"
"12","소스류","히로시마현","2017-06-14","708","불검출","불검출","적합"
"13","혼합제제","이바라키현","2017-06-28","165","불검출","불검출","적합"
