"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","1,733,749","-","-","-"
"1","활가리비","러시아","2015-12-04","6,000","불검출","불검출","적합"
"2","냉동대구","러시아","2015-12-04","5,277","불검출","불검출","적합"
"3","냉동가자미","러시아","2015-12-04","12,320","불검출","불검출","적합"
"4","냉동상어(청상아리)","대만","2015-12-04","8,522","불검출","불검출","적합"
"5","냉동가자미(까지가자미)","러시아","2015-12-04","2,451","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-12-04","240,157","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-12-04","482,169","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2015-12-04","23,250","불검출","불검출","적합"
"9","냉장성게(알,  횟감)","캐나다","2015-12-02","62","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-12-04","852,100","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-12-04","101,441","불검출","불검출","적합"
