"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건32","-","-","90,237","-","-","-"
"1","활돔 돌돔(
)","미에현","2015-12-02","416","불검출","불검출","적합"
"2","활돔 벵에돔
(
)","미에현","2015-12-02","943","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2015-12-02","9,427","불검출","불검출","적합"
"4","냉장갈치","와카야마현","2015-12-02","440","불검출","불검출","적합"
"5","냉장돔 황돔(
)","야마구치현","2015-12-02","20","불검출","불검출","적합"
"6","냉장홍어","야마구치현","2015-12-02","300","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-12-02","9,586","불검출","불검출","적합"
"8","냉장갈치","오이타현","2015-12-02","1,105","불검출","불검출","적합"
"9","활돔 벵에돔
(
)","오이타현","2015-12-02","944","불검출","불검출","적합"
"10","냉장갈치","후쿠오카현","2015-12-02","835","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2015-12-02","120","불검출","불검출","적합"
"12","냉장홍어","야마구치현","2015-12-02","330","불검출","불검출","적합"
"13","냉장돔 참돔(
)","야마구치현","2015-12-02","290","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-12-02","5,600","불검출","불검출","적합"
"15","활우렁쉥이","홋카이도","2015-12-02","3,315","불검출","불검출","적합"
