"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","158,596.59","-","-","-"
"1","활우렁쉥이","홋카이도","2016-11-23","8,823","불검출","불검출","적합"
"2","냉동방어
(F,포장횟감)","구마모토현","2016-11-23","13,447.59","불검출","불검출","적합"
"3","활장어(먹장어)","나가사키현","2016-11-23","1,492","불검출","불검출","적합"
"4","활우렁쉥이","홋카이도","2016-11-23","6,847","불검출","불검출","적합"
"5","활게(참게)","후쿠오카현","2016-11-23","860","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2016-11-23","9,731","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-11-23","1,055","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-11-23","1,520","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2016-11-23","6,236","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2016-11-23","8,108","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2016-11-23","9,656","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2016-11-23","7,000","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-11-23","660","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2016-11-23","216","불검출","불검출","적합"
"15","냉장갈치","에히메현","2016-11-23","170","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-11-23","2,850","불검출","불검출","적합"
