"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장전어","오사카부","2016-11-22","6,400","불검출","불검출","적합"
"18","냉장돔(황돔)","야마구치현","2016-11-22","430","불검출","불검출","적합"
"19","냉장민어(수조기)","야마구치현","2016-11-22","200","불검출","불검출","적합"
"20","냉장가오리","야마구치현","2016-11-22","500","불검출","불검출","적합"
"21","냉장홍어","야마구치현","2016-11-22","300","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2016-11-22","8,710","불검출","불검출","적합"
"23","냉장명태","홋카이도","2016-11-22","2,900","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-11-22","2,500","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-11-22","2,900","불검출","불검출","적합"
"26","냉장갈치","오이타현","2016-11-22","2,330","불검출","불검출","적합"
"27","냉장갈치","미야자키현","2016-11-22","200","불검출","불검출","적합"
"28","냉장갈치","후쿠오카현","2016-11-22","29","불검출","불검출","적합"
"29","냉장돔(황돔)","후쿠오카현","2016-11-22","636","불검출","불검출","적합"
"30","냉장갈치","야마구치현","2016-11-22","2,184","불검출","불검출","적합"
"31","냉장돔(황돔)","야마구치현","2016-11-22","260","불검출","불검출","적합"
"32","냉장홍어","야마구치현","2016-11-22","320","불검출","불검출","적합"
"33","냉장전어","야마구치현","2016-11-22","18,400","불검출","불검출","적합"
"34","냉장갈치","후쿠오카현","2016-11-22","2,000","불검출","불검출","적합"
"35","활바리(자바리)","나가사키현","2016-11-22","364","불검출","불검출","적합"
"36","활우렁쉥이","홋카이도","2016-11-22","2,222","불검출","불검출","적합"
