"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 71건","","","","129,445","","",""
"1","과·채주스","야마나시현","2019-04-01","2,074","불검출","불검출","적합"
"2","과·채주스","구마모토현","2019-04-04","2,765","불검출","불검출","적합"
"3","과·채주스","아이치현","2019-03-29","1,037","불검출","불검출","적합"
"4","효모식품","오이타현","2019-03-25","4,800","불검출","불검출","적합"
"5","효모식품","오이타현","2019-01-10","1,000","불검출","불검출","적합"
"6","소스","히로시마현","2019-04-27","4,000","불검출","불검출","적합"
"7","액상커피","시가현","2019-03-01","864","불검출","불검출","적합"
"8","액상커피","시가현","2019-03-01","691","불검출","불검출","적합"
"9","캔디류","아이치현","2019-04-18","1,080","불검출","불검출","적합"
"10","과자","니가타현","2019-04-23","450","불검출","불검출","적합"
"11","기타 수산물가공품","훗카이도","2019-04-26","450","불검출","불검출","적합"
"12","소스","도치기현","2019-04-04","1,190","불검출","불검출","적합"
"13","소스","히로시마현","2019-04-09","1,298","불검출","불검출","적합"
"14","소스","히로시마현","2019-04-11","660","불검출","불검출","적합"
"15","소스","히로시마현","2019-04-11","3,780","불검출","불검출","적합"
