"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건28","-","-","76,418","-","-","-"
"1","활가리비","홋카이도","2015-11-20","7,500","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-11-20","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-11-20","7,030","불검출","불검출","적합"
"4","냉장돔 참돔(
)","후쿠오카현","2015-11-20","240","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2015-11-20","5,682","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2015-11-20","3,447","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-11-20","8,925","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-11-20","9,190","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2015-11-20","3,175","불검출","불검출","적합"
"10","냉장갈치","오이타현","2015-11-20","1,417","불검출","불검출","적합"
"11","냉장갈치","후쿠오카현","2015-11-20","1,050","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2015-11-20","650","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-11-20","5,000","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2015-11-20","2,276","불검출","불검출","적합"
"15","냉장가오리","야마구치현","2015-11-20","210","불검출","불검출","적합"
