"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건16","-","-","2,568,844","-","-","-"
"1","냉동꽁치","대만","2015-11-24","173,751","불검출","불검출","적합"
"2","냉동상어
(
흑기흉상어
)","대만","2015-11-24","18,286","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2015-11-24","15,000","불검출","불검출","적합"
"4","냉동대구(F)","러시아","2015-11-24","9,000","불검출","불검출","적합"
"5","냉동대구 목살(
)","러시아","2015-11-24","544","불검출","불검출","적합"
"6","냉동가자미
(
까지가자미
)","러시아","2015-11-24","21,500","불검출","불검출","적합"
"7","냉동가자미
(
까지가자미
)","러시아","2015-11-24","21,500","불검출","불검출","적합"
"8","냉동대구","러시아","2015-11-24","1,054","불검출","불검출","적합"
"9","냉동명태","러시아","2015-11-24","530,728","불검출","불검출","적합"
"10","냉동명태","러시아","2015-11-24","926,629","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-11-24","141,867","불검출","불검출","적합"
"12","냉동고등어(F)","중국","2015-11-24","2,000","불검출","불검출","적합"
"13","냉동다랑어
(
황다랑어 횟감
,F,
)","한국","2015-11-24","265","불검출","불검출","적합"
"14","마른명태포","러시아","2015-11-24","5,000","불검출","불검출","적합"
"15","냉동꽁치","대만","2015-11-24","603,593","불검출","불검출","적합"
"16","냉동꽁치","대만","2015-11-24","98,127","불검출","불검출","적합"
