"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","13건","-","-","2,764,113","-","-","-"
"1","냉동다랑어(눈다랑어)","마이크로
네시아","2014-12-8","16,456","불검출","불검출","적합"
"2","냉동명태","러시아","2014-12-8","182,490","불검출","불검출","적합"
"3","냉동대구(목살)","러시아","2014-12-8","960","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-12-8","609,569","불검출","불검출","적합"
"5","냉동다랑어
(남방참다랑어,목살,횟감)","호주","2014-12-8","1,500","불검출","불검출","적합"
"6","냉동대구(F)","러시아","2014-12-8","5,200","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-12-8","107,911","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-12-8","130,483","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-12-8","253,375","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-12-8","221,160","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-12-8","84,370","불검출","불검출","적합"
"12","냉동꽁치","대만","2014-12-8","916,853","불검출","불검출","적합"
"13","냉동꽁치","대만","2014-12-8","233,786","불검출","불검출","적합"
