"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","107,310","-","-","-"
"1","활돔(참돔)","에히메현","2016-07-05","7,410","불검출","불검출","적합"
"2","활돔(참돔)","나가사키현","2016-07-05","3,709","불검출","불검출","적합"
"3","활돔(쥐돔)","나가사키현","2016-07-05","1,250","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-07-05","9,038","불검출","불검출","적합"
"5","활돔(참돔)","구마모토현","2016-07-05","5,236","불검출","불검출","적합"
"6","활돔(참돔)","구마모토현","2016-07-05","12,907","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-07-05","7,300","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-07-05","7,300","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-07-05","7,220","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2016-07-05","656","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-07-05","1,218","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-07-05","1,516","불검출","불검출","적합"
"13","냉장대구","홋카이도","2016-07-05","610","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-07-05","1,220","불검출","불검출","적합"
