"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"처리
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","462","1,215,759","3","24,981","379","1,121,071","1","18","79","69,689"
"12.10","105","476,564","1","18,975","69","434,676","1","18","34","22,895"
"12.11","187","437,117","0","0","157","419,407","0","0","30","17,710"
"12.12","53","103,684","1","17","48","97,607","0","0","4","6,060"
"12.13","117","198,394","1","5,989","105","169,381","0","0","11","23,024"
"","","","","","","","","","",""
