"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","혼합장","나가노현","2018-11-14","416","불검출","불검출","적합"
"14","혼합장","나가노현","2018-11-14","10,080","불검출","불검출","적합"
"15","캔디류","아이치현","2018-08-28","460","불검출","불검출","적합"
"16","과자","니가타현","2018-11-07","672","불검출","불검출","적합"
"17","과자","시가현","2018-11-14","702","불검출","불검출","적합"
"18","캔디류","아이치현","2018-11-02","360","불검출","불검출","적합"
"19","과자","사이타마현","2018-11-08","360","불검출","불검출","적합"
"20","캔디류","아이치현","2018-11-15","300","불검출","불검출","적합"
"21","캔디류","아이치현","2018-11-13","1,188","불검출","불검출","적합"
"22","캔디류","아이치현","2018-11-16","900","불검출","불검출","적합"
"23","캔디류","아이치현","2018-11-15","720","불검출","불검출","적합"
"24","과자","아이치현","2018-11-12","480","불검출","불검출","적합"
"25","캔디류","아이치현","2018-11-21","3,600","불검출","불검출","적합"
"26","캔디류","아이치현","2018-11-20","3,840","불검출","불검출","적합"
"27","캔디류","아이치현","2018-11-21","2,520","불검출","불검출","적합"
"28","캔디류","오사카부","2018-09-02","106","불검출","불검출","적합"
"29","캔디류","오사카부","2018-09-02","106","불검출","불검출","적합"
"30","향미유","사이타마현","2018-11-06","600","불검출","불검출","적합"
"31","혼합제제","사이타마현","2018-11-07","300","불검출","불검출","적합"
"32","소스","도치기현","2019-10-17","2,574","불검출","불검출","적합"
"33","합성향료","효고현","2018-11-16","34","불검출","불검출","적합"
"34","합성향료","효고현","2018-11-14","17","불검출","불검출","적합"
"35","합성향료","효고현","2018-11-08","34","불검출","불검출","적합"
"36","복합조미식품","사이타마현","2018-11-05","750","불검출","불검출","적합"
"37","혼합제제","사이타마현","2018-11-05","160","불검출","불검출","적합"
"38","소스","사이타마현","2018-11-01","300","불검출","불검출","적합"
"39","혼합제제","사이타마현","2018-11-08","900","불검출","불검출","적합"
"40","향미유","사이타마현","2018-11-05","405","불검출","불검출","적합"
"41","혼합제제","사이타마현","2018-11-01","100","불검출","불검출","적합"
"42","두류가공품","시가현","2018-10-11","540","불검출","불검출","적합"
"43","기타가공품","이바라키현","2018-11-14","4,500","불검출","불검출","적합"
"44","자당지방산에스테르","시가현","2018-11-12","3,000","불검출","불검출","적합"
"45","소스","지바현","2018-10-23","432","불검출","불검출","적합"
