"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","혼합제제","오이타현","2018-10-10","1,000","불검출","불검출","적합"
"14","합성향료","효고현","2018-11-15","30","불검출","불검출","적합"
"15","맥주","교토부","2018-11-21","15,872","불검출","불검출","적합"
"16","고추냉이/신선,냉
장","도쿄도","2018-11-25","17","불검출","불검출","적합"
"17","복합조미식품","도치기현","2018-10-17","2,000","불검출","불검출","적합"
"18","복합조미식품","니가타현","2018-09-05","18,000","불검출","불검출","적합"
"19","복합조미식품","사이타마현","2018-11-05","160","불검출","불검출","적합"
"20","과자","니가타현","2018-11-14","2,652","불검출","불검출","적합"
"21","기타가공품","기후현","2018-10-12","10","불검출","불검출","적합"
"22","전분가공품","오사카부","2018-10-30","1,000","불검출","불검출","적합"
"23","양조간장","오사카부","2018-11-17","1,015","불검출","불검출","적합"
"24","빵류","아이치현","2018-08-08","2","불검출","불검출","적합"
"25","소스","나가사키현","2018-11-07","4,076","불검출","불검출","적합"
"26","소스","나가사키현","2018-11-02","8,610","불검출","불검출","적합"
"27","소스","나가사키현","2018-10-31","2,867","불검출","불검출","적합"
"28","소스","나가사키현","2018-11-06","2,273","불검출","불검출","적합"
"29","아스파탐","미에현","2018-06-16","5,000","불검출","불검출","적합"
"30","소스","이바라키현","2018-11-14","325","불검출","불검출","적합"
"31","소스","나가사키현","2018-11-06","872","불검출","불검출","적합"
"32","소스","나가사키현","2018-11-07","4,276","불검출","불검출","적합"
"33","소스","나가사키현","2018-11-13","3,010","불검출","불검출","적합"
"34","소스","나가사키현","2018-11-08","2,608","불검출","불검출","적합"
"35","소스","나가사키현","2018-10-31","2,867","불검출","불검출","적합"
"36","소스","나가사키현","2018-11-13","386","불검출","불검출","적합"
"37","기타
식용유지가
공품","나가사키현","2018-11-15","992","불검출","불검출","적합"
"38","소스","나가사키현","2018-11-15","500","불검출","불검출","적합"
"39","소스","시즈오카현","2018-10-30","76","불검출","불검출","적합"
"40","소스","시즈오카현","2018-10-30","81","불검출","불검출","적합"
"41","소스","시즈오카현","2018-11-07","92","불검출","불검출","적합"
"42","청주","돗토리현","2018-11-12","108","불검출","불검출","적합"
"43","청주","돗토리현","2018-11-14","540","불검출","불검출","적합"
"44","청주","돗토리현","2018-10-15","90","불검출","불검출","적합"
