"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"79","청주","효고현","2018-10-01","600","불검출","불검출","적합"
"80","청주","효고현","2018-10-10","540","불검출","불검출","적합"
"81","청주","효고현","2018-10-17","540","불검출","불검출","적합"
"82","합성향료","효고현","2018-11-13","17","불검출","불검출","적합"
"83","혼합제제","효고현","2018-11-15","51","불검출","불검출","적합"
"84","l-멘톨","시즈오카현","2018-11-02","2,000","불검출","불검출","적합"
"85","소스","에히메현","2018-11-21","4,800","불검출","불검출","적합"
"86","곡류가공품","에히메현","2018-11-22","10,000","불검출","불검출","적합"
"87","소스","에히메현","2018-11-22","2,160","불검출","불검출","적합"
"88","복합조미식품","에히메현","2018-11-21","400","불검출","불검출","적합"
"89","소스","에히메현","2018-11-22","708","불검출","불검출","적합"
"90","전분가공품","에히메현","2018-11-22","16,200","불검출","불검출","적합"
"91","소스","에히메현","2018-11-22","6,000","불검출","불검출","적합"
"92","전분가공품","시즈오카현","2018-11-08","106","불검출","불검출","적합"
"93","액상차","미에현","2018-10-31","600","불검출","불검출","적합"
"94","캔디류","나라현","2018-11-01","119","불검출","불검출","적합"
"95","캔디류","나라현","2018-11-09","1,170","불검출","불검출","적합"
"96","유탕면","도치기현","2018-11-02","288","불검출","불검출","적합"
"97","유탕면","이바라키현","2018-10-29","224","불검출","불검출","적합"
"98","숙면","구마모토현","2018-10-19","306","불검출","불검출","적합"
"99","액상차","미에현","2018-10-11","600","불검출","불검출","적합"
"100","캔디류","나라현","2018-11-08","1,700","불검출","불검출","적합"
"101","혼합제제","가나가와현","2018-11-20","210","불검출","불검출","적합"
"102","기타가공품","시즈오카현","2020-12-01","30","불검출","불검출","적합"
"103","기타가공품","시즈오카현","2020-12-01","60","불검출","불검출","적합"
"104","혼합제제","히로시마현","2018-10-19","100","불검출","불검출","적합"
"105","혼합제제","히로시마현","2018-11-09","500","불검출","불검출","적합"
"106","청주","효고현","2018-10-17","1,008","불검출","불검출","적합"
"107","청주","효고현","2018-11-21","9,216","불검출","불검출","적합"
"108","청주","효고현","2018-11-07","8,640","불검출","불검출","적합"
"109","청주","효고현","2018-09-19","1,210","불검출","불검출","적합"
"110","청주","효고현","2018-11-22","10,800","불검출","불검출","적합"
"111","캔디류","아이치현","2018-10-19","1,939","불검출","불검출","적합"
