"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","93건","","138,619","","",""
"1","소스류","오사카부","2014-10-30","1,280","불검출","불검출","적합"
"2","혼합장","효고현","2014-06-09","1,088","불검출","불검출","적합"
"3","당절임","효고현","2014-10-22","360","불검출","불검출","적합"
"4","기타가공품(참깨분)","미에현","2014-10-14","72","불검출","불검출","적합"
"5","당류가공품","기후현","2014-09-12","54","불검출","불검출","적합"
"6","즉석조리식품","지바현","2014-10-02","28.68","불검출","불검출","적합"
"7","농산물조림","야마가타현","2014-09-25","180","불검출","불검출","적합"
"8","조미건어포류","에히메현","2014-10-30","17.5","불검출","불검출","적합"
"9","튀김식품","히로시마현","2014-10-29","87","불검출","불검출","적합"
"10","혼합제제","오사카부","2014-11-11","15","불검출","불검출","적합"
"11","청주","돗토리현","2014-11-05","612","불검출","불검출","적합"
"12","청주","돗토리현","2014-11-05","64.8","불검출","불검출","적합"
"13","청주","돗토리현","2014-11-05","108","불검출","불검출","적합"
"14","청주","돗토리현","2014-11-05","43.2","불검출","불검출","적합"
"15","청주","시즈오카현","2014-10-15","75.6","불검출","불검출","적합"
"16","기타주류","후쿠오카현","2014-10-20","54","불검출","불검출","적합"
"17","청주","후쿠오카현","2014-10-30","54","불검출","불검출","적합"
