"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","15건","-","-","6,872,778","-","-","-"
"1","냉동명태","러시아","2014-11-24","1,059,585","불검출","불검출","적합"
"2","냉동가자미","러시아","2014-11-24","3,161","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-11-24","1,110,470","불검출","불검출","적합"
"4","냉동대구","러시아","2014-11-24","75,723","불검출","불검출","적합"
"5","냉동가자미(까지가자미) 러시아","","2014-11-24","6,192","불검출","불검출","적합"
"6","냉동명태","러시아","2014-11-24","2,140,712","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-11-24","249,575","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-11-24","440,230","불검출","불검출","적합"
"9","냉동가자미(각시가자미) 러시아","","2014-11-24","20,280","불검출","불검출","적합"
"10","냉동가자미(각시가자미) 러시아","","2014-11-24","20,280","불검출","불검출","적합"
"11","냉동고등어","중국","2014-11-24","49,400","불검출","불검출","적합"
"12","냉동꽁치","대만","2014-11-24","716,818","불검출","불검출","적합"
"13","냉동고등어","대만","2014-11-24","72,000","불검출","불검출","적합"
"14","냉동꽁치","대만","2014-11-24","455,829","불검출","불검출","적합"
"15","냉동꽁치","대만","2014-11-24","452,523","불검출","불검출","적합"
