"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","13건","-","-","44,922","-","-","-"
"1","활돔(참돔)","에히메현","2015-7-10","8,587","불검출","불검출","적합"
"2","냉동새치(황새치,F,횟감) 가나가와현","","2015-7-10","958","불검출","불검출","적합"
"3","활돔(강담돔)","에히메현","2015-7-10","647","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-7-10","7,355","불검출","불검출","적합"
"5","냉장명태","홋카이도","2015-7-10","3,072","불검출","불검출","적합"
"6","냉장명태","홋카이도","2015-7-10","3,108","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-7-10","4,440","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2015-7-10","824","불검출","불검출","적합"
"9","활가리비","홋카이도","2015-7-10","7,106","불검출","불검출","적합"
"10","활장어(먹장어)","후쿠오카현","2015-7-10","1,530","불검출","불검출","적합"
"11","활장어(먹장어)","나가사키현","2015-7-10","235","불검출","불검출","적합"
"12","마른해삼(자숙)","시마네현","2015-7-10","75","불검출","불검출","적합"
"13","활가리비","홋카이도","2015-7-10","6,985","불검출","불검출","적합"
