"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","71,814","-","-","-"
"1","활돔 벵에돔
(
)","에히메현","2016-03-24","1,377","불검출","불검출","적합"
"2","활돔 돌돔(
)","에히메현","2016-03-24","1,994","불검출","불검출","적합"
"3","냉동다랑어 눈다(
랑어 목살,
)","대서양","2016-03-24","1,520","불검출","불검출","적합"
"4","활돔 돌돔(
)","시즈오카현","2016-03-24","79","불검출","불검출","적합"
"5","활장어 먹장어
(
)","나가사키현","2016-03-24","1,818","불검출","불검출","적합"
"6","활장어 먹장어
(
)","야마구치현","2016-03-24","893","불검출","불검출","적합"
"7","활꼬막 새꼬막
(
)","사가현","2016-03-24","2,800","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-03-24","13,965","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-03-24","2,400","불검출","불검출","적합"
"10","활가리비","홋카이도","2016-03-24","7,089","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-03-24","4,085","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-03-24","2,400","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-03-24","2,380","불검출","불검출","적합"
"14","냉장대구","홋카이도","2016-03-24","5,150","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-03-24","2,490","불검출","불검출","적합"
"16","냉장대구","홋카이도","2016-03-24","672","불검출","불검출","적합"
