"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","와카야마현","2016-03-22","2,560","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-03-22","2,400","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-03-22","9,100","불검출","불검출","적합"
"20","냉장갈치","오이타현","2016-03-22","2,205","불검출","불검출","적합"
"21","활해삼","미에현","2016-03-22","1,050","불검출","불검출","적합"
"22","활해삼","오이타현","2016-03-22","153","불검출","불검출","적합"
"23","활돔 돌돔(
)","미에현","2016-03-22","389","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-03-22","2,028","불검출","불검출","적합"
"25","냉장대구","홋카이도","2016-03-22","1,630","불검출","불검출","적합"
"26","냉장갈치","와카야마현","2016-03-22","1,444","불검출","불검출","적합"
"27","냉장명태","홋카이도","2016-03-22","2,028","불검출","불검출","적합"
"28","냉장갈치","야마구치현","2016-03-22","1,555","불검출","불검출","적합"
"29","냉장대구","홋카이도","2016-03-22","1,630","불검출","불검출","적합"
"30","냉장갈치","오이타현","2016-03-22","1,535","불검출","불검출","적합"
"31","활가리비","홋카이도","2016-03-22","7,091","불검출","불검출","적합"
"32","냉장갈치","에히메현","2016-03-22","616","불검출","불검출","적합"
"33","냉장갈치","와카야마현","2016-03-22","80","불검출","불검출","적합"
"34","활꼬막","사가현","2016-03-22","360","불검출","불검출","적합"
"35","냉장명태","홋카이도","2016-03-22","1,950","불검출","불검출","적합"
