"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"36","냉장명태","홋카이도","2016-03-22","3,650","불검출","불검출","적합"
"37","냉장홍어","홋카이도","2016-03-22","2,069","불검출","불검출","적합"
"38","냉장명태","홋카이도","2016-03-22","1,200","불검출","불검출","적합"
"39","냉장명태","홋카이도","2016-03-22","2,400","불검출","불검출","적합"
"40","냉장갈치","에히메현","2016-03-22","1,618","불검출","불검출","적합"
"41","냉장갈치","와카야마현","2016-03-22","400","불검출","불검출","적합"
"42","냉장갈치","효고현","2016-03-22","408","불검출","불검출","적합"
"43","냉장준치","효고현","2016-03-22","90","불검출","불검출","적합"
"44","냉장준치","구마모토현","2016-03-22","203","불검출","불검출","적합"
"45","활꼬막","사가현","2016-03-22","1,400","불검출","불검출","적합"
"46","냉장명태","홋카이도","2016-03-22","3,650","불검출","불검출","적합"
"47","활꼬막 새꼬막
(
)","사가현","2016-03-22","2,400","불검출","불검출","적합"
"48","냉장명태","홋카이도","2016-03-22","1,950","불검출","불검출","적합"
"49","냉장갈치","오이타현","2016-03-22","840","불검출","불검출","적합"
"50","활장어 먹장어
(
)","나가사키현","2016-03-22","2,496","불검출","불검출","적합"
"51","활돔 돌돔(
)","가나가와현","2016-03-22","1,150","불검출","불검출","적합"
