"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","74,038","-","-","-"
"1","활방어","나가사키현","2016-12-12","12,531","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-12-12","7,500","불검출","불검출","적합"
"3","냉장명태","홋카이도","2016-12-12","3,814","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-12-12","1,006","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-12-12","1,200","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-12-12","3,812","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-12-12","5,000","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-12-12","5,700","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-12-12","5,700","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-12-12","222","불검출","불검출","적합"
"11","냉장갈치","후쿠오카현","2016-12-12","1,510","불검출","불검출","적합"
"12","냉장돔(황돔)","후쿠오카현","2016-12-12","96","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-12-12","510","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2016-12-12","9,080","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2016-12-12","198","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2016-12-12","1,328","불검출","불검출","적합"
