"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","88,289","-","-","-"
"1","활방어","구마모토현","2016-12-14","7,646","불검출","불검출","적합"
"2","활우렁쉥이","홋카이도","2016-12-14","7,000","불검출","불검출","적합"
"3","활돔(강담돔)","나가사키현","2016-12-14","355","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2016-12-14","3,122","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-12-14","1,300","불검출","불검출","적합"
"6","냉장갈치","오이타현","2016-12-14","1,660","불검출","불검출","적합"
"7","냉장갈치","후쿠오카현","2016-12-14","134","불검출","불검출","적합"
"8","냉장갈치","에히메현","2016-12-14","585","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-12-14","4,730","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-12-14","1,200","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-12-14","1,780","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-12-14","1,790","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-12-14","7,500","불검출","불검출","적합"
"14","냉장갈치","야마구치현","2016-12-14","380","불검출","불검출","적합"
"15","활꼬막","후쿠오카현","2016-12-14","2,560","불검출","불검출","적합"
"16","냉장갈치","후쿠오카현","2016-12-14","640","불검출","불검출","적합"
