"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","103,300.46","-","-","-"
"1","활방어","나가사키현","2016-12-15","9,670","불검출","불검출","적합"
"2","냉동돔(금눈돔)","시즈오카현","2016-12-15","100.46","불검출","불검출","적합"
"3","냉동상어(청상아
리,F)","인도양","2016-12-15","328","불검출","불검출","적합"
"4","냉동상어(청상아
리)","대서양","2016-12-15","1,791","불검출","불검출","적합"
"5","냉동개복치(F)","대서양","2016-12-15","444","불검출","불검출","적합"
"6","냉동기름치","인도양","2016-12-15","2,367","불검출","불검출","적합"
"7","냉동기름치","대서양","2016-12-15","14,316","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-12-15","5,000","불검출","불검출","적합"
"9","냉장갈치","후쿠오카현","2016-12-15","1,604","불검출","불검출","적합"
"10","냉장민어(수조기)","후쿠오카현","2016-12-15","30","불검출","불검출","적합"
"11","냉장갈치","에히메현","2016-12-15","520","불검출","불검출","적합"
"12","냉장갈치","효고현","2016-12-15","48","불검출","불검출","적합"
"13","냉장돔(황돔)","후쿠오카현","2016-12-15","216","불검출","불검출","적합"
"14","냉장갈치","에히메현","2016-12-15","1,158","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-12-15","1,750","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-12-15","4,060","불검출","불검출","적합"
