"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"17","소스류","교토부","2014-02-05","1,095","불검출","불검출","적합"
"18","리큐르","미에현","2014-01-27","840","불검출","불검출","적합"
"19","트랜스글루타미나아제","가나가와현","2014-01-29","100","불검출","불검출","적합"
"20","조미된장","나가노현","2014-02-26","5,000","불검출","불검출","적합"
"21","트랜스글루타미나아제","가나가와현","2014-02-15","100","불검출","불검출","적합"
"22","카레","도치기현","2014-01-14","264","불검출","불검출","적합"
"23","카레","도치기현","2014-01-16","396","불검출","불검출","적합"
"24","카레","나라현","2014-01-21","3,000","불검출","불검출","적합"
"25","복합조미식품","가나가와현","2014-01-18","600","불검출","불검출","적합"
"26","청국장","도치기현","2014-02-20","222","불검출","불검출","적합"
"27","혼합제제","오사카부","2014-03-12","60","불검출","불검출","적합"
"28","맥주","후쿠오카현","2014-02-01","60,600","불검출","불검출","적합"
"29","맥주","후쿠오카현","2014-01-28","69,840","불검출","불검출","적합"
"30","폴리글리세린지방산에스테르","효고현","2014-02-28","1,000","불검출","불검출","적합"
"31","농산물조림","후쿠오카현","2014-02-28","504","불검출","불검출","적합"
"32","혼합장","야마나시현","2014-02-18","1,800","불검출","불검출","적합"
"33","위스키","오사카부","2014-02-15","1,459.2","불검출","불검출","적합"
"34","글리신","가나가와현","2014-01-05","7,200","불검출","불검출","적합"
"35","카레","니가타현","2014-02-05","1,440","불검출","불검출","적합"
"36","카레","니가타현","2014-02-24","1,440","불검출","불검출","적합"
"37","혼합제제","효고현","2014-03-17","34","불검출","불검출","적합"
"38","카레","니가타현","2014-02-24","1,440","불검출","불검출","적합"
"39","혼합제제","사이타마현","2014-03-12","40","불검출","불검출","적합"
"40","혼합제제","나가노현","2014-03-11","1,000","불검출","불검출","적합"
"41","말토트리오히드로라제","시가현","2014-01-29","188.8","불검출","불검출","적합"
"42","혼합제제","오카야마현","2014-03-12","30","불검출","불검출","적합"
"43","혼합제제","오카야마현","2014-03-12","30","불검출","불검출","적합"
"44","소스류","오이타현","2013-09-02","7.84","불검출","불검출","적합"
"45","수산물가공품","히로시마현","2013-10-20","12","불검출","불검출","적합"
"46","식염절임","와카야마현","2014-03-02","28","불검출","불검출","적합"
"47","카레분","사이타마현","2013-06-04","920","불검출","불검출","적합"
"48","카레","나가노현","2013-12-20","1,200","불검출","불검출","적합"
"49","카레","니가타현","2014-01-13","800","불검출","불검출","적합"
"50","혼합제제","오사카부","2014-03-11","100","불검출","불검출","적합"
"51","혼합제제","오사카부","2014-03-11","60","불검출","불검출","적합"
"52","카레","나가노현","2013-12-10","1,800","불검출","불검출","적합"
"53","혼합제제","오카야마현","2014-03-14","45","불검출","불검출","적합"
"54","혼합제제","오카야마현","2014-03-13","90","불검출","불검출","적합"
"55","혼합제제","오카야마현","2014-03-10","45","불검출","불검출","적합"
"56","캔디류(사탕)","가나가와현","2014-01-21","960.4","불검출","불검출","적합"
"57","캔디류(사탕)","가나가와현","2013-12-28","44","불검출","불검출","적합"
"58","과자(크래커)","이바라키현","2014-02-10","848","불검출","불검출","적합"
"59","과자(스낵과자)","사이타마현","2014-02-05","440","불검출","불검출","적합"
"60","캔디류(사탕)","미에현","2014-02-12","384","불검출","불검출","적합"
"61","혼합제제","효고현","2014-03-11","136","불검출","불검출","적합"
"62","혼합제제","효고현","2014-03-06","34","불검출","불검출","적합"
"63","혼합제제","효고현","2014-03-11","102","불검출","불검출","적합"
"64","혼합제제","효고현","2014-03-11","17","불검출","불검출","적합"
"65","혼합제제","효고현","2014-03-11","17","불검출","불검출","적합"
"66","혼합제제","효고현","2014-03-11","17","불검출","불검출","적합"
