"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"21","혼합제제","효고현","2014-04-21","51","불검출","불검출","적합"
"22","글리세린지방산에스테르","오사카부","2014-04-14","300","불검출","불검출","적합"
"23","혼합제제","오사카부","2014-04-17","400","불검출","불검출","적합"
"24","혼합제제","오사카부","2014-02-19","208","불검출","불검출","적합"
"25","글리세린지방산에스테르","오사카부","2014-03-13","64","불검출","불검출","적합"
"26","혼합제제","효고현","2014-04-21","51","불검출","불검출","적합"
"27","혼합제제","효고현","2014-04-21","17","불검출","불검출","적합"
"28","된장","효고현","2014-04-12","600","불검출","불검출","적합"
"29","된장","도쿠시마현","2014-03-20","96","불검출","불검출","적합"
"30","된장","오사카부","2014-04-14","400","불검출","불검출","적합"
"31","청주","효고현","2014-02-05","86.4","불검출","불검출","적합"
"32","청주","효고현","2014-03-14","648","불검출","불검출","적합"
"33","청주","효고현","2014-03-14","432","불검출","불검출","적합"
"34","청주","효고현","2014-03-10","345.6","불검출","불검출","적합"
"35","청주","효고현","2014-03-03","60","불검출","불검출","적합"
"36","청주","효고현","2014-03-24","86.4","불검출","불검출","적합"
"37","청주","효고현","2014-04-03","180","불검출","불검출","적합"
"38","청주","효고현","2014-03-19","540","불검출","불검출","적합"
"39","청주","효고현","2014-03-18","744","불검출","불검출","적합"
"40","청주","효고현","2014-03-10","122.4","불검출","불검출","적합"
"41","청주","효고현","2014-03-13","144","불검출","불검출","적합"
"42","청주","효고현","2014-03-11","4,320","불검출","불검출","적합"
"43","청주","효고현","2014-03-12","7,560","불검출","불검출","적합"
"44","청주","효고현","2014-04-11","3,540","불검출","불검출","적합"
"45","청주","효고현","2014-04-04","810","불검출","불검출","적합"
"46","청주","효고현","2014-03-24","324","불검출","불검출","적합"
"47","청주","효고현","2014-03-25","432","불검출","불검출","적합"
"48","청주","효고현","2014-03-26","108","불검출","불검출","적합"
"49","침출차","시즈오카현","2014-04-17","50","불검출","불검출","적합"
"50","청주","니가타현","2014-04-07","43.2","불검출","불검출","적합"
"51","청주","사가현","2014-04-14","45.36","불검출","불검출","적합"
"52","청주","야마구치현","2014-04-05","129.6","불검출","불검출","적합"
"53","청주","시즈오카현","2014-03-14","43.2","불검출","불검출","적합"
"54","혼합제제","효고현","2014-04-22","17","불검출","불검출","적합"
"55","혼합제제","효고현","2014-04-18","34","불검출","불검출","적합"
"56","혼합제제","효고현","2014-04-18","51","불검출","불검출","적합"
"57","혼합제제","효고현","2014-04-22","51","불검출","불검출","적합"
"58","혼합제제","효고현","2014-04-22","17","불검출","불검출","적합"
"59","침출차","후쿠오카현","2014-03-10","9","불검출","불검출","적합"
"60","수산물가공품","효고현","2014-04-05","19.2","불검출","불검출","적합"
"61","침출차","후쿠오카현","2014-03-10","8","불검출","불검출","적합"
"62","향신료조제품(고추냉이가공품)","사이타마현","2014-03-25","1,488","불검출","불검출","적합"
"63","침출차","후쿠오카현","2014-04-14","11.25","불검출","불검출","적합"
"64","비타민","시즈오카현","2013-10-20","81","불검출","불검출","적합"
"65","침출차","후쿠오카현","2014-04-23","6.75","불검출","불검출","적합"
"66","청주","효고현","2014-04-02","342","불검출","불검출","적합"
"67","혼합제제","효고현","2014-04-21","153","불검출","불검출","적합"
"68","식염절임","도쿄도","2014-04-11","68","불검출","불검출","적합"
"69","식초절임(생강절임)","도치기현","2014-04-11","36","불검출","불검출","적합"
"70","혼합제제","효고현","2014-04-21","17","불검출","불검출","적합"
