"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","3,898,374.8","-","-","-"
"1","냉동꽁치","대만","2016-11-02","98,731.6","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-11-02","197,063.6","불검출","불검출","적합"
"3","냉동명태","러시아","2016-11-02","1,294,242","불검출","불검출","적합"
"4","냉동가자미","러시아","2016-11-02","8,600","불검출","불검출","적합"
"5","냉동다랑어
(눈다랑어,목살,횟감)","대만","2016-11-02","3,330","불검출","불검출","적합"
"6","냉동꽁치","대만","2016-11-02","387,029","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-11-02","192,731.8","불검출","불검출","적합"
"8","냉동꽁치","대만","2016-11-02","147,372.8","불검출","불검출","적합"
"9","냉동명태","러시아","2016-11-02","1,262,072","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-11-02","22,540","불검출","불검출","적합"
"11","냉동상어
(청상아리)","대만","2016-11-02","8,511","불검출","불검출","적합"
"12","냉동고등어","중국","2016-11-02","46,160","불검출","불검출","적합"
"13","냉동대구(F)","러시아","2016-11-02","1,400","불검출","불검출","적합"
"14","냉동꽁치","대만","2016-11-02","126,945","불검출","불검출","적합"
"15","냉동꽁치","대만","2016-11-02","101,646","불검출","불검출","적합"
