"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","160,750.9","-","-","-"
"1","활돔(참돔)","나가사키현","2016-11-02","3,811","불검출","불검출","적합"
"2","활돔(참돔)","나가사키현","2016-11-02","5,824","불검출","불검출","적합"
"3","활우렁쉥이","홋카이도","2016-11-02","7,000","불검출","불검출","적합"
"4","냉동다랑어
(눈다랑어,목살,횟감)","태평양","2016-11-02","895","불검출","불검출","적합"
"5","냉동다랑어
(눈다랑어,F,횟감)","태평양","2016-11-02","251.9","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-11-02","6,933","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-11-02","6,075","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2016-11-02","10,207","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-11-02","3,680","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-11-02","1,004","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-11-02","5,770","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-11-02","1,004","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-11-02","5,770","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-11-02","3,100","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-11-02","1,690","불검출","불검출","적합"
"16","냉장갈치","오이타현","2016-11-02","400","불검출","불검출","적합"
