"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 175건","","","","757,084","","",""
"1","향신료조제품","시즈오카현","2018-05-22","152","불검출","불검출","적합"
"2","곡류가공품","효고현","2018-09-10","2,200","불검출","불검출","적합"
"3","소스","사가현","2018-06-22","6,675","불검출","불검출","적합"
"4","즉석조리식품","가가와현","2018-07-20","4,992","불검출","불검출","적합"
"5","소스","도치기현","2018-09-19","15,369","불검출","불검출","적합"
"6","가공두부","나가노현","2018-09-19","12,558","불검출","불검출","적합"
"7","기타 주류","구마모토현","2018-08-21","28,997","불검출","불검출","적합"
"8","기타 수산물가공품","후쿠시마현","2018-09-07","240","불검출","불검출","적합"
"9","소스","히로시마현","2018-08-07","294","불검출","불검출","적합"
"10","소스","히로시마현","2018-08-21","832","불검출","불검출","적합"
"11","어묵","시마네현","2018-10-01","6,678","불검출","불검출","적합"
"12","어묵","야마구치현","2018-07-16","2,000","불검출","불검출","적합"
"13","소스","히로시마현","2018-08-18","156","불검출","불검출","적합"
"14","소스","히로시마현","2018-07-18","168","불검출","불검출","적합"
