"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","23,932","-","-","-"
"1","냉동남방참다랑어
(목살,횟감)","인도양","2016-08-29","251","불검출","불검출","적합"
"2","냉장갈치","와카야마현","2016-08-29","1,728","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2016-08-29","1,096","불검출","불검출","적합"
"4","냉장돔(참돔)","야마구치현","2016-08-29","1,415","불검출","불검출","적합"
"5","냉장돔(황돔)","야마구치현","2016-08-29","150","불검출","불검출","적합"
"6","냉장갈치","후쿠오카현","2016-08-29","645","불검출","불검출","적합"
"7","냉장준치","구마모토현","2016-08-29","238","불검출","불검출","적합"
"8","냉장갈치","와카야마현","2016-08-29","1,008","불검출","불검출","적합"
"9","냉장갈치","오이타현","2016-08-29","800","불검출","불검출","적합"
"10","냉장돔(참돔)","야마구치현","2016-08-29","820","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-08-29","1,019","불검출","불검출","적합"
"12","냉장갈치","오이타현","2016-08-29","190","불검출","불검출","적합"
"13","냉장돔(황돔)","야마구치현","2016-08-29","215","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2016-08-29","3,937","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-08-29","7,284","불검출","불검출","적합"
"16","냉동돔(황돔)","후쿠오카현","2016-08-29","3,136","불검출","불검출","적합"
