"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"4","냉동가자미(각시가자미)","러시아","2017-06-08","22,000","불검출","불검출","적합"
"5","냉동곤이(명태)","러시아","2017-06-08","15,638","불검출","불검출","적합"
"6","냉동새우(흰다리새우,자숙)","말레이시아","2017-06-08","5,700","불검출","불검출","적합"
"7","냉동가자미(각시가자미,F)","미국","2017-06-08","16,800","불검출","불검출","적합"
"8","냉동가자미","미국","2017-06-08","18,000","불검출","불검출","적합"
"9","냉동곤이(대구)","러시아","2017-06-08","31,928","불검출","불검출","적합"
"10","냉동오징어(동체)","칠레","2017-06-08","24,000","불검출","불검출","적합"
"11","냉동가자미(각시가자미)","러시아","2017-06-08","22,500","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2017-06-08","19,050","불검출","불검출","적합"
"13","냉동곤이(명태)","러시아","2017-06-08","1,013","불검출","불검출","적합"
"14","냉동가오리","아르헨티나","2017-06-08","16,800","불검출","불검출","적합"
"합계","","-","-","272,375","-","-","-"
