"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수 중량(㎏) 건수","","중량(㎏)",""
"합계","580","2,658,004","5","26,715","443","2,539,628","1","1,797","131","89,864"
"5.29","116","1,356,190","2","13,665","68","1,285,972","0","0","46","56,553"
"5.30","118","113,796","2","11,670","92","77,805","0","0","24","24,321"
"5.31","107","162,153","0","0","83","155,133","1","1,797","23","5,223"
"6.1","138","624,501","0","0","116","623,154","0","0","22","1,347"
"6.2","101","401,364","1","1,380","84","397,564","0","0","16","2,420"
