"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","405,387","","",""
"1","혼합제제","오사카부","2017-04-24","150","불검출","불검출","적합"
"2","기타천연착향료","오사카부","2017-05-17","1,000","불검출","불검출","적합"
"3","조미된장","아이치현","2017-05-24","9,000","불검출","불검출","적합"
"4","조미된장","아이치현","2017-05-23","10,130","불검출","불검출","적합"
"5","소스류","시즈오카현","2017-03-16","360","불검출","불검출","적합"
"6","소스류","시즈오카현","2017-03-28","80","불검출","불검출","적합"
"7","소스류","시즈오카현","2017-03-02","48","불검출","불검출","적합"
"8","소스류","시즈오카현","2017-04-10","150","불검출","불검출","적합"
"9","국수","구마모토현","2017-04-17","733","불검출","불검출","적합"
"10","캔디류(캐러멜)","군마현","2017-03-15","158","불검출","불검출","적합"
"11","청주","사이타마현","2017-04-07","1,264","불검출","불검출","적합"
"12","청주","사이타마현","2017-04-07","1,264","불검출","불검출","적합"
"13","식초절임(매실절임)","와카야마현","2017-04-12","192","불검출","불검출","적합"
