"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","마른해삼(자숙)","필리핀","2017-06-09","144","불검출","불검출","적합"
"2","냉동어란(명란)","러시아","2017-06-09","13,271","불검출","불검출","적합"
"3","냉동가자미(각시가자미)","러시아","2017-06-09","22,500","불검출","불검출","적합"
"4","냉동어란(명란)","러시아","2017-06-09","27,518","불검출","불검출","적합"
"5","냉동오징어(화살오징어)","뉴질랜드","2017-06-09","22,050","불검출","불검출","적합"
"6","냉동가자미(각시가자미)","러시아","2017-06-09","22,500","불검출","불검출","적합"
"7","냉동가자미(각시가자미)","러시아","2017-06-09","22,050","불검출","불검출","적합"
"8","냉동곤이(대구)","미국","2017-06-09","628","불검출","불검출","적합"
"9","마른명태","러시아","2017-06-09","41,577","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2017-06-09","18,458","불검출","불검출","적합"
"11","냉동가자미(각시가자미)","러시아","2017-06-09","22,500","불검출","불검출","적합"
"12","냉동곤이(대구)","러시아","2017-06-09","5,359","불검출","불검출","적합"
"13","냉동꽁치","대만","2017-06-09","38,646","불검출","불검출","적합"
"합계","","-","-","257,201","-","-","-"
