"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 113건","","","","585,538","","",""
"1","캔디류","나가사키현","2018-02-13","19","불검출","불검출","적합"
"2","캔디류","나가사키현","2018-03-05","19","불검출","불검출","적합"
"3","캔디류","나가사키현","2018-02-13","20","불검출","불검출","적합"
"4","캔디류","아이치현","2018-07-17","1,536","불검출","불검출","적합"
"5","캔디류","후쿠오카현","2018-06-26","4,500","불검출","불검출","적합"
"6","캔디류","후쿠오카현","2018-06-20","4,500","불검출","불검출","적합"
"7","캔디류","후쿠오카현","2018-06-30","4,500","불검출","불검출","적합"
"8","맥주","후쿠오카현","2018-06-28","48,750","불검출","불검출","적합"
"9","혼합제제","도쿄도","2018-07-12","45","불검출","불검출","적합"
"10","혼합제제","오사카부","2018-07-17","100","불검출","불검출","적합"
"11","소스","효고현","2018-07-12","11,565","불검출","불검출","적합"
"12","청주","후쿠오카현","2018-06-26","559","불검출","불검출","적합"
"13","청주","후쿠오카현","2018-06-26","207","불검출","불검출","적합"
"14","된장","오사카부","2018-07-07","600","불검출","불검출","적합"
"15","된장","도쿠시마현","2018-07-04","400","불검출","불검출","적합"
