"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 48건","","","","391,787","","",""
"1","맥주","후쿠오카현","2018-07-02","151,464","불검출","불검출","적합"
"2","혼합제제","와카야마현","2018-07-02","75","불검출","불검출","적합"
"3","기타가공품","오사카부","2018-06-22","700","불검출","불검출","적합"
"4","가공두부","후쿠오카현","2018-07-12","7,200","불검출","불검출","적합"
"5","효모식품","오이타현","2018-05-04","500","불검출","불검출","적합"
"6","기타 주류","구마모토현","2018-06-11","12,600","불검출","불검출","적합"
"7","기타 주류","구마모토현","2018-06-09","12,600","불검출","불검출","적합"
"8","카레(커리)","나가노현","2018-05-09","4,000","불검출","불검출","적합"
"9","카레(커리)","니가타현","2018-05-29","2,000","불검출","불검출","적합"
"10","카레(커리)","니가타현","2018-05-22","3,000","불검출","불검출","적합"
"11","카레(커리)","나가노현","2018-06-05","2,000","불검출","불검출","적합"
"12","혼합장","히로시마현","2018-06-25","14,500","불검출","불검출","적합"
"13","혼합장","히로시마현","2018-06-26","1,000","불검출","불검출","적합"
"14","혼합장","히로시마현","2018-06-28","3,000","불검출","불검출","적합"
"15","소스","야마나시현","2018-07-09","10,740","불검출","불검출","적합"
