"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 159건","","","","663,791","","",""
"1","당류가공품","오사카부","2018-06-15","103","불검출","불검출","적합"
"2","당류가공품","교토부","2018-06-12","257","불검출","불검출","적합"
"3","캔디류","효고현","2018-06-06","144","불검출","불검출","적합"
"4","고형차","아이치현","2018-07-09","255","불검출","불검출","적합"
"5","캔디류","아이치현","2018-07-06","692","불검출","불검출","적합"
"6","고형차","아이치현","2018-07-09","3,360","불검출","불검출","적합"
"7","건면","훗카이도","2018-06-06","500","불검출","불검출","적합"
"8","복합조미식품","오카야마현","2018-05-25","20","불검출","불검출","적합"
"9","복합조미식품","미에현","2018-05-28","115","불검출","불검출","적합"
"10","복합조미식품","미에현","2018-06-07","21","불검출","불검출","적합"
"11","절임식품","와카야마현","2018-06-19","624","불검출","불검출","적합"
"12","소스","사가현","2018-06-07","473","불검출","불검출","적합"
"13","소스","사가현","2018-06-07","91","불검출","불검출","적합"
"14","소스","사가현","2018-06-09","122","불검출","불검출","적합"
"15","청주","사가현","2018-06-27","408","불검출","불검출","적합"
