"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","23건","","","50.631","-","-","-"
"1","활참돔","에히메현","2015-05-28","8,421","불검출","불검출","적합"
"2","활참돔","에히메현","2015-05-28","9,306","불검출","불검출","적합"
"3","활낙지","효고현","2015-05-28","114","불검출","불검출","적합"
"4","활해삼","시즈오카현","2015-05-28","148","불검출","불검출","적합"
"5","활돌돔","나가사키현","2015-05-28","486","불검출","불검출","적합"
"6","활돌돔","가가와현","2015-05-28","268","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2015-05-28","1,344","불검출","불검출","적합"
"8","활돌돔","나가사키현","2015-05-28","1,011","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2015-05-28","1,224","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2015-05-28","2,136","불검출","불검출","적합"
"11","냉장황돔","야마구치현","2015-05-28","260","불검출","불검출","적합"
"12","냉장홍어","야마구치현","2015-05-28","300","불검출","불검출","적합"
"13","냉장갈치","오이타현","2015-05-28","450","불검출","불검출","적합"
"14","냉장갈치","히로시마현","2015-05-28","390","불검출","불검출","적합"
"15","냉장갈치","에히메현","2015-05-28","312","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-05-28","5,252","불검출","불검출","적합"
"17","냉장명태","홋카이도","2015-05-28","5,252","불검출","불검출","적합"
"18","냉장갈치","에히메현","2015-05-28","392","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2015-05-28","376","불검출","불검출","적합"
"20","냉장갈치","오이타현","2015-05-28","1,320","불검출","불검출","적합"
"21","냉동남방참다랑어","인도양","2015-05-28","2,358","불검출","불검출","적합"
"22","활먹장어","후쿠오카현","2015-05-28","2,528","불검출","불검출","적합"
"23","활가리비","홋카이도","2015-05-28","6,983","불검출","불검출","적합"
