"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"7","냉동가자미(각시가자미)","미국","2017-07-05","8,325","불검출","불검출","적합"
"8","냉동가자미(각시가자미)","미국","2017-07-05","21,350","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-07-05","14,750","불검출","불검출","적합"
"10","냉동대구","러시아","2017-07-05","91,797","불검출","불검출","적합"
"11","냉동다랑어(황다랑어,F)","가나","2017-07-05","24,473","불검출","불검출","적합"
"12","냉동꽁치","대만","2017-07-05","7,468","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2017-07-05","19,875","불검출","불검출","적합"
"14","냉동가자미(각시가자미)","러시아","2017-07-05","23,000","불검출","불검출","적합"
"15","냉동곤이(명태)","러시아","2017-07-05","3,375","불검출","불검출","적합"
"16","냉동고둥살(피뿔고둥,자숙)","루마니아","2017-07-05","23,000","불검출","불검출","적합"
"17","냉동대구(목살)","러시아","2017-07-05","2,176","불검출","불검출","적합"
"18","냉동명태(F)","러시아","2017-07-05","23,500","불검출","불검출","적합"
"19","냉동꽁치","대만","2017-07-05","45,680","불검출","불검출","적합"
"20","냉동명태(F)","러시아","2017-07-05","9,500","불검출","불검출","적합"
"21","냉동가자미(첨치가자미,F)","미국","2017-07-05","24,000","불검출","불검출","적합"
"합계","","-","-","1,158,214","-","-","-"
