"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 122건","","","","1,066,927","","",""
"1","기타가공품","기후현","2017-05-29","187","불검출","불검출","적합"
"2","건어포류","오사카부","2017-05-29","1,700","불검출","불검출","적합"
"3","양조간장","효고현","2017-05-25","378","불검출","불검출","적합"
"4","건어포류","오사카부","2017-05-29","600","불검출","불검출","적합"
"5","양조간장","효고현","2017-05-30","1,170","불검출","불검출","적합"
"6","건어포류","시즈오카현","2017-05-19","40","불검출","불검출","적합"
"7","빵류(그외 빵류)","나가노현","2017-06-08","298","불검출","불검출","적합"
"8","캔디류(사탕)","나가노현","2017-06-12","660","불검출","불검출","적합"
"9","과자(쿠키)","나가노현","2017-06-08","518","불검출","불검출","적합"
"10","과자(쿠키)","나가노현","2017-06-08","509","불검출","불검출","적합"
"11","갈락토올리고당","훗카이도","2016-03-08","2,000","불검출","불검출","적합"
"12","소스류","후쿠오카현","2017-06-09","300","불검출","불검출","적합"
"13","소스류","후쿠오카현","2017-06-06","1,620","불검출","불검출","적합"
