"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 99건","","","","311,944","","",""
"1","캔디류(젤리)","후쿠오카현","2017-05-15","1,350","불검출","불검출","적합"
"2","소스류","나가사키현","2017-06-14","572","불검출","불검출","적합"
"3","소스류","지바현","2017-03-28","1,320","불검출","불검출","적합"
"4","소스류","지바현","2017-05-17","385","불검출","불검출","적합"
"5","소스류","후쿠오카현","2017-06-07","1,000","불검출","불검출","적합"
"6","소스류","지바현","2017-05-03","2,925","불검출","불검출","적합"
"7","혼합제제","히로시마현","2017-05-30","15","불검출","불검출","적합"
"8","고구마전분","가고시마현","2016-11-20","37,000","불검출","불검출","적합"
"9","고구마전분","가고시마현","2016-11-29","37,000","불검출","불검출","적합"
"10","추잉껌","아이치현","2017-05-29","165","불검출","불검출","적합"
"11","양조간장","후쿠오카현","2017-06-01","17,326","불검출","불검출","적합"
"12","산분해간장","나가사키현","2017-06-05","540","불검출","불검출","적합"
"13","된장","나가사키현","2017-06-06","150","불검출","불검출","적합"
