"수입
검사결과
제조일자","","","","","","",""
"순번
품목명
중량
제조·생산지
세슘
요오드
판정
(유통기한)
(기준:100Bq/kg)
(기준:300Bq/kg)
(kg)","","","","","","",""
"49","맥주","오이타현","2017-05-20","99,084","불검출","불검출","적합"
"50","맥주","오이타현","2017-04-28","182,160","불검출","불검출","적합"
"51","양조간장","야마나시현","(2020-06-02)","2,112","불검출","불검출","적합"
"52","소스류","야마나시현","(2018-12-07)","4,984","불검출","불검출","적합"
"53","소스류","야마나시현","(2018-12-07)","2,506","불검출","불검출","적합"
"54","혼합제제","시가현","2017-06-14","40","불검출","불검출","적합"
"55","혼합제제","시가현","2017-06-14","80","불검출","불검출","적합"
"56","혼합제제","시가현","2017-06-14","20","불검출","불검출","적합"
"57","혼합제제","시가현","2017-06-14","50","불검출","불검출","적합"
"58","기타천연착향료","시가현","2017-06-14","50","불검출","불검출","적합"
"59","기타천연착향료","시가현","2017-06-14","150","불검출","불검출","적합"
"60","맥주","후쿠오카현","2017-06-08","157,032","불검출","불검출","적합"
"61","혼합제제","나가노현","2017-06-15","175","불검출","불검출","적합"
"62","캔디류(사탕)","와카야마현","2017-04-24","133","불검출","불검출","적합"
"63","청주","교토부","2017-05-30","6,774","불검출","불검출","적합"
"64","청주","교토부","2017-06-09","3,456","불검출","불검출","적합"
"65","청주","교토부","2017-05-11","36","불검출","불검출","적합"
"66","과자(스낵과자)","고치현","2017-04-24","300","불검출","불검출","적합"
"67","과자(스낵과자)","히로시마현","2017-04-24","50","불검출","불검출","적합"
"68","과자(스낵과자)","고치현","2017-04-05","88","불검출","불검출","적합"
"69","청주","교토부","2017-05-16","922","불검출","불검출","적합"
"70","과자(쿠키)","아이치현","2017-04-26","97","불검출","불검출","적합"
"71","파라옥시안식향산에틸","미에현","2016-09-12","2,000","불검출","불검출","적합"
"72","복합조미식품","후쿠오카현","2017-06-08","300","불검출","불검출","적합"
"73","소스류","이바라키현","2017-04-24","75","불검출","불검출","적합"
"74","향미유","사이타마현","2017-05-27","70","불검출","불검출","적합"
"75","국수","나가사키현","2017-06-12","150","불검출","불검출","적합"
"76","과자(스낵과자)","효고현","(2017-08-22)","13","불검출","불검출","적합"
"77","과자(스낵과자)","효고현","(2017-08-22)","13","불검출","불검출","적합"
"78","과자(스낵과자)","교토부","(2017-08-22)","7","불검출","불검출","적합"
"79","과자(스낵과자)","효고현","(2017-08-29)","13","불검출","불검출","적합"
"80","과자(스낵과자)","교토부","(2017-08-29)","9","불검출","불검출","적합"
"81","가공두부","후쿠오카현","2017-06-16","5,457","불검출","불검출","적합"
"82","수산물가공품","오카야마현","2017-02-15","125","불검출","불검출","적합"
"83","기타주류","효고현","2017-05-31","44,772","불검출","불검출","적합"
