"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 148건","","","","1,525,040","","",""
"1","청주","미에현","2019-02-01","259","불검출","불검출","적합"
"2","가공두부","후쿠오카현","2019-02-04","3,240","불검출","불검출","적합"
"3","가공두부","후쿠오카현","2019-02-09","10,440","불검출","불검출","적합"
"4","혼합제제","오사카부","2019-02-12","5","불검출","불검출","적합"
"5","기타천연착향료","오사카부","2019-02-13","60","불검출","불검출","적합"
"6","혼합제제","오사카부","2019-02-12","150","불검출","불검출","적합"
"7","혼합제제","오사카부","2019-02-12","100","불검출","불검출","적합"
"8","소스","오사카부","2018-10-02","320","불검출","불검출","적합"
"9","건어포","시즈오카현","2019-01-31","82","불검출","불검출","적합"
"10","볶은커피","가나가와현","2018-12-21","142","불검출","불검출","적합"
"11","소스","히로시마현","2019-01-17","180","불검출","불검출","적합"
"12","볶은커피","가나가와현","2019-01-21","142","불검출","불검출","적합"
"13","건어포","오사카부","2019-01-29","480","불검출","불검출","적합"
"14","건어포","오사카부","2019-01-29","400","불검출","불검출","적합"
