"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동개아지살(가리비)","홋카이도","2019-03-11","300","불검출","불검출","적합"
"2","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"3","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"4","냉장명태","홋카이도","2019-03-11","3,172","불검출","불검출","적합"
"5","냉동개아지살(가리비)","홋카이도","2019-03-11","2,250","불검출","불검출","적합"
"6","활장어(먹장어)","교토부","2019-03-11","1,947","불검출","불검출","적합"
"7","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"8","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"9","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"10","냉장돔(황돔)","나가사키현","2019-03-11","456","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2019-03-11","168","불검출","불검출","적합"
"12","냉장가오리","야마구치현","2019-03-11","72","불검출","불검출","적합"
"13","활가리비","홋카이도","2019-03-11","110","불검출","불검출","적합"
"14","냉장명태","홋카이도","2019-03-11","3,094","불검출","불검출","적합"
"15","활가리비","홋카이도","2019-03-11","6,948","불검출","불검출","적합"
"16","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"17","냉장명태","홋카이도","2019-03-11","1,300","불검출","불검출","적합"
"18","활가리비","홋카이도","2019-03-11","7,968","불검출","불검출","적합"
"19","냉장갈치","효고현","2019-03-11","272","불검출","불검출","적합"
"20","냉장준치","효고현","2019-03-11","528","불검출","불검출","적합"
