"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 75건","","","","191,298","","",""
"1","카레(커리)","니가타현","2019-01-22","2,640","불검출","불검출","적합"
"2","카레(커리)","니가타현","2018-11-30","3,036","불검출","불검출","적합"
"3","카레(커리)","니가타현","2019-01-21","3,564","불검출","불검출","적합"
"4","캔디류","아이치현","2019-01-30","97","불검출","불검출","적합"
"5","건어포","시즈오카현","2019-01-31","48","불검출","불검출","적합"
"6","절임식품","가고시마현","2019-02-18","750","불검출","불검출","적합"
"7","소스","오이타현","2019-01-25","1,200","불검출","불검출","적합"
"8","기타 수산물가공품","훗카이도","2019-02-07","450","불검출","불검출","적합"
"9","양조간장","효고현","2019-02-04","13,799","불검출","불검출","적합"
"10","혼합제제","가나가와현","2019-02-04","1,000","불검출","불검출","적합"
"11","기타가공품","와카야마현","2019-01-23","600","불검출","불검출","적합"
"12","혼합제제","사이타마현","2019-02-04","200","불검출","불검출","적합"
"13","혼합제제","시즈오카현","2019-02-01","800","불검출","불검출","적합"
"14","혼합제제","시즈오카현","2019-01-28","250","불검출","불검출","적합"
