"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"43","청주","히로시마현","2015-04-14","43.2","불검출","불검출","적합"
"44","청주","야마가타현","2015-05-22","43.2","불검출","불검출","적합"
"45","혼합제제","사이타마현","2015-06-15","180","불검출","불검출","적합"
"46","소스류","군마현","2015-05-08","1,350","불검출","불검출","적합"
"47","청주","미에현","2015-05-13","3,000","불검출","불검출","적합"
"48","청주","아이치현","2015-06-09","432","불검출","불검출","적합"
"49","소스류","군마현","2015-05-20","500","불검출","불검출","적합"
"50","전분가공품","오사카부","2015-06-10","1,200","불검출","불검출","적합"
"51","카레","나가노현","2015-05-26","3,000","불검출","불검출","적합"
"52","기타식초","도치기현","2015-02-06","345","불검출","불검출","적합"
"53","기타가공품","가고시마현","2015-03-10","4,798.4","불검출","불검출","적합"
"54","청국장","도쿄도","2015-05-26","1,813.68","불검출","불검출","적합"
"55","청국장","도쿄도","2015-05-12","1,545.12","불검출","불검출","적합"
"56","스피루리나 제품","야마나시현","2015-06-15","980.64","불검출","불검출","적합"
"57","어묵","시마네현","2015-06-14","1,470","불검출","불검출","적합"
"58","국수","가가와현","2015-06-12","2,420","불검출","불검출","적합"
"59","어묵","야마구치현","2015-06-04","2,200","불검출","불검출","적합"
"60","맥주","후쿠오카현","2015-05-26","97,000","불검출","불검출","적합"
"61","수산물가공품","후쿠시마현","2015-05-28","120","불검출","불검출","적합"
"62","수산물가공품","아이치현","2015-06-05","8,500","불검출","불검출","적합"
"63","어묵","시마네현","2015-05-26","1,344","불검출","불검출","적합"
"64","맥주","후쿠오카현","2015-06-09","87,300","불검출","불검출","적합"
"65","맥주","후쿠오카현","2015-06-09","122,220","불검출","불검출","적합"
"66","혼합제제","효고현","2015-06-22","34","불검출","불검출","적합"
"67","혼합제제","효고현","2015-06-18","34","불검출","불검출","적합"
"68","혼합제제","효고현","2015-06-18","34","불검출","불검출","적합"
"69","혼합제제","효고현","2015-06-22","17","불검출","불검출","적합"
"70","혼합제제","효고현","2015-06-19","34","불검출","불검출","적합"
"71","혼합제제","효고현","2015-06-22","51","불검출","불검출","적합"
"72","혼합제제","가나가와현","2015-06-19","30","불검출","불검출","적합"
