"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","7건","","","68,964","-","-","-"
"1","냉동대구(목살)","러시아","2015-07-07","2,420","불검출","불검출","적합"
"2","냉동곤이(명태)","러시아","2015-07-07","6,615","불검출","불검출","적합"
"3","냉동남방참다랑어","호주","2015-07-07","1,019","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2015-07-07","12,780","불검출","불검출","적합"
"5","냉동대구(F)","러시아","2015-07-07","3,130","불검출","불검출","적합"
"6","냉동각시가자미","러시아","2015-07-07","21,500","불검출","불검출","적합"
"7","냉동각시가자미","러시아","2015-07-07","21,500","불검출","불검출","적합"
