"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","3건","","","40,761","-","-","-"
"1","냉동곤이(명태)","러시아","2015-07-06","19,845","불검출","불검출","적합"
"2","냉동대구","러시아","2015-07-06","20,016","불검출","불검출","적합"
"3","냉동눈다랑어(F,횟감)","중국","2015-07-06","900","불검출","불검출","적합"
