"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","32건","","","105,552","-","-","-"
"1","냉동황새치(F,횟감)","태평양","2015-07-08","390","불검출","불검출","적합"
"2","냉동멸치","미야자키현","2015-07-08","7,460","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-07-08","11,573","불검출","불검출","적합"
"4","냉동가리비(외투막)","홋카이도","2015-07-08","23,000","불검출","불검출","적합"
"5","냉장갈치","오이타현","2015-07-08","745","불검출","불검출","적합"
"6","냉장돔(황돔)","후쿠오카현","2015-07-08","96","불검출","불검출","적합"
"7","냉장돔(참돔)","후쿠오카현","2015-07-08","200","불검출","불검출","적합"
"8","냉장갈치","나가사키현","2015-07-08","50","불검출","불검출","적합"
"9","냉장갈치","오이타현","2015-07-08","480","불검출","불검출","적합"
"10","냉장돔(참돔)","후쿠오카현","2015-07-08","200","불검출","불검출","적합"
"11","냉장돔(황돔)","후쿠오카현","2015-07-08","135","불검출","불검출","적합"
"12","냉장갈치","오이타현","2015-07-08","1,235","불검출","불검출","적합"
"13","냉장갈치","히로시마현","2015-07-08","205","불검출","불검출","적합"
"14","냉장돔(황돔)","나가사키현","2015-07-08","184","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-07-08","2,636","불검출","불검출","적합"
"16","활가리비","홋카이도","2015-07-08","7,418","불검출","불검출","적합"
"17","활가리비","홋카이도","2015-07-08","13,815","불검출","불검출","적합"
"18","냉장명태","홋카이도","2015-07-08","2,340","불검출","불검출","적합"
"19","냉장갈치","오이타현","2015-07-08","250","불검출","불검출","적합"
"20","활가리비","홋카이도","2015-07-08","7,362","불검출","불검출","적합"
"21","냉동기름치","대서양","2015-07-08","2,737","불검출","불검출","적합"
"22","냉장명태","홋카이도","2015-07-08","5,076","불검출","불검출","적합"
"23","냉장홍어","홋카이도","2015-07-08","1,495","불검출","불검출","적합"
"24","냉장명태","홋카이도","2015-07-08","3,144","불검출","불검출","적합"
"25","냉장갈치","오이타현","2015-07-08","430","불검출","불검출","적합"
"26","냉장명태","홋카이도","2015-07-08","3,108","불검출","불검출","적합"
"27","냉장돔(황돔)","나가사키현","2015-07-08","228","불검출","불검출","적합"
"28","활돔(벵에돔)","사가현","2015-07-08","1,428","불검출","불검출","적합"
"29","활가리비","홋카이도","2015-07-08","7,075","불검출","불검출","적합"
"30","냉장준치","구마모토현","2015-07-08","434","불검출","불검출","적합"
