"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","84","","417.271","","",""
"1","어묵","이시카와현","2015-05-11","256","불검출","불검출","적합"
"2","과자(스낵과자)","아이치현","2015-05-18","63","불검출","불검출","적합"
"3","건어포류","에히메현","2015-06-02","540","불검출","불검출","적합"
"4","침출차","시즈오카현","2015-06-02","15","불검출","불검출","적합"
"5","침출차","시즈오카현","2015-06-02","15","불검출","불검출","적합"
"6","침출차","시즈오카현","2015-04-02","15","불검출","불검출","적합"
"7","청주","후쿠이현","2015-05-26","129.6","불검출","불검출","적합"
"8","청주","와카야마현","2015-06-19","86.4","불검출","불검출","적합"
"9","청주","고치현","2015-06-03","43.2","불검출","불검출","적합"
"10","기타주류","와카야마현","2015-05-28","54","불검출","불검출","적합"
"11","소스류","나가사키현","2015-05-15","6,771.6","불검출","불검출","적합"
"12","소스류","나가사키현","2015-05-11","4,428","불검출","불검출","적합"
