"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"19","냉장홍어","홋카이도","2015-09-08","1,746","불검출","불검출","적합"
"20","냉장돔 참돔(
)","나가사키현","2015-09-08","728","불검출","불검출","적합"
"21","냉장갈치","와카야마현","2015-09-08","2,906","불검출","불검출","적합"
"22","냉장돔 참돔(
)","야마구치현","2015-09-08","272","불검출","불검출","적합"
"23","냉장돔 황돔(
)","야마구치현","2015-09-08","465","불검출","불검출","적합"
"24","냉장홍어","야마구치현","2015-09-08","180","불검출","불검출","적합"
"25","냉장돔 참돔(
)","나가사키현","2015-09-08","180","불검출","불검출","적합"
"26","활가리비","홋카이도","2015-09-08","6,914","불검출","불검출","적합"
"27","냉장홍어","홋카이도","2015-09-08","1,446","불검출","불검출","적합"
"28","냉장돔 참돔(
)","나가사키현","2015-09-08","1,160","불검출","불검출","적합"
"29","냉장돔 황돔(
)","후쿠오카현","2015-09-08","110","불검출","불검출","적합"
"30","냉장명태","홋카이도","2015-09-08","1,260","불검출","불검출","적합"
"31","냉장돔 황돔(
)","나가사키현","2015-09-08","260","불검출","불검출","적합"
"32","냉장돔 황돔(
)","나가사키현","2015-09-08","608","불검출","불검출","적합"
"33","냉장갈치","와카야마현","2015-09-08","1,680","불검출","불검출","적합"
"34","활가리비","홋카이도","2015-09-08","7,109","불검출","불검출","적합"
"35","활가리비","홋카이도","2015-09-08","6,728","불검출","불검출","적합"
"36","냉장돔 참돔(
)","후쿠오카현","2015-09-08","135","불검출","불검출","적합"
"37","냉장돔 황돔(
)","야마구치현","2015-09-08","285","불검출","불검출","적합"
"38","냉장돔 참돔(
)","야마구치현","2015-09-08","325","불검출","불검출","적합"
"39","냉장갈치","와카야마현","2015-09-08","1,200","불검출","불검출","적합"
"40","냉장갈치","오이타현","2015-09-08","1,500","불검출","불검출","적합"
"41","냉장명태","홋카이도","2015-09-08","4,004","불검출","불검출","적합"
"42","냉장명태","홋카이도","2015-09-08","3,952","불검출","불검출","적합"
