"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"27","냉장명태","홋카이도","2016-03-16","4,368","불검출","불검출","적합"
"28","냉장명태","홋카이도","2016-03-16","3,564","불검출","불검출","적합"
"29","냉장명태","홋카이도","2016-03-16","860","불검출","불검출","적합"
"30","냉장대구","홋카이도","2016-03-16","1,780","불검출","불검출","적합"
"31","냉장홍어","홋카이도","2016-03-16","123","불검출","불검출","적합"
"32","냉장명태","홋카이도","2016-03-16","4,368","불검출","불검출","적합"
"33","냉장명태","홋카이도","2016-03-16","860","불검출","불검출","적합"
"34","냉장대구","홋카이도","2016-03-16","1,780","불검출","불검출","적합"
"35","냉장명태","홋카이도","2016-03-16","9,172","불검출","불검출","적합"
"36","활가리비","홋카이도","2016-03-16","6,976","불검출","불검출","적합"
"37","냉장돔(황돔)","야마구치현","2016-03-16","609","불검출","불검출","적합"
"38","활가리비","홋카이도","2016-03-16","11,940","불검출","불검출","적합"
"39","냉장가오리","야마구치현","2016-03-16","290","불검출","불검출","적합"
"40","냉장갈치","와카야마현","2016-03-16","2,400","불검출","불검출","적합"
"41","냉장홍어","홋카이도","2016-03-16","3,725","불검출","불검출","적합"
"42","활돔(돌돔)","오이타현","2016-03-16","849","불검출","불검출","적합"
"43","냉동가리비(외투막)","홋카이도","2016-03-16","24,000","불검출","불검출","적합"
"44","냉동가리비(외투막)","홋카이도","2016-03-16","24,000","불검출","불검출","적합"
"45","활돔(돌돔)","미에현","2016-03-16","1,489","불검출","불검출","적합"
